day	hour	value
1	1	7
1	2	12
1	3	9
1	4	10
1	5	1
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	9
1	13	13
1	14	7
1	15	7
1	16	3
1	17	2
1	18	0
1	19	2
1	20	5
1	21	3
1	22	4
1	23	7
1	24	11
2	1	23
2	2	8
2	3	6
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	1
2	11	4
2	12	5
2	13	0
2	14	0
2	15	1
2	16	0
2	17	0
2	18	0
2	19	0
2	20	3
2	21	2
2	22	2
2	23	0
2	24	6
3	1	5
3	2	6
3	3	3
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	5
3	12	5
3	13	4
3	14	0
3	15	2
3	16	0
3	17	1
3	18	0
3	19	2
3	20	5
3	21	7
3	22	3
3	23	4
3	24	4
4	1	8
4	2	7
4	3	0
4	4	8
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	3
4	12	5
4	13	10
4	14	7
4	15	0
4	16	0
4	17	1
4	18	4
4	19	1
4	20	4
4	21	1
4	22	3
4	23	2
4	24	1
5	1	7
5	2	3
5	3	2
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	5
5	12	3
5	13	4
5	14	5
5	15	3
5	16	2
5	17	0
5	18	0
5	19	5
5	20	0
5	21	2
5	22	0
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	2
6	12	0
6	13	1
6	14	3
6	15	1
6	16	0
6	17	0
6	18	2
6	19	1
6	20	0
6	21	2
6	22	6
6	23	2
6	24	5
7	1	9
7	2	4
7	3	2
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	5
7	12	4
7	13	2
7	14	5
7	15	4
7	16	3
7	17	4
7	18	3
7	19	4
7	20	10
7	21	3
7	22	2
7	23	5
7	24	8
