day	hour	value
1	1	0
1	2	0
1	3	1
1	4	1
1	5	8
1	6	5
1	7	4
1	8	2
1	9	6
1	10	5
1	11	5
1	12	3
1	13	2
1	14	0
1	15	2
1	16	0
1	17	3
1	18	2
1	19	2
1	20	2
1	21	0
1	22	4
1	23	4
1	24	1
2	1	0
2	2	1
2	3	0
2	4	4
2	5	2
2	6	5
2	7	6
2	8	4
2	9	6
2	10	4
2	11	2
2	12	3
2	13	2
2	14	3
2	15	1
2	16	2
2	17	1
2	18	3
2	19	1
2	20	2
2	21	4
2	22	0
2	23	4
2	24	1
3	1	0
3	2	0
3	3	0
3	4	2
3	5	5
3	6	5
3	7	1
3	8	4
3	9	4
3	10	2
3	11	5
3	12	3
3	13	3
3	14	3
3	15	3
3	16	1
3	17	2
3	18	0
3	19	1
3	20	2
3	21	2
3	22	4
3	23	2
3	24	0
4	1	1
4	2	2
4	3	0
4	4	1
4	5	5
4	6	6
4	7	1
4	8	2
4	9	5
4	10	6
4	11	4
4	12	3
4	13	2
4	14	4
4	15	0
4	16	1
4	17	0
4	18	0
4	19	2
4	20	3
4	21	3
4	22	2
4	23	1
4	24	1
5	1	1
5	2	0
5	3	0
5	4	4
5	5	2
5	6	2
5	7	5
5	8	4
5	9	7
5	10	1
5	11	4
5	12	3
5	13	3
5	14	2
5	15	0
5	16	1
5	17	2
5	18	0
5	19	3
5	20	5
5	21	1
5	22	3
5	23	1
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	3
6	6	7
6	7	4
6	8	1
6	9	4
6	10	3
6	11	4
6	12	1
6	13	3
6	14	3
6	15	1
6	16	2
6	17	1
6	18	3
6	19	1
6	20	2
6	21	0
6	22	2
6	23	1
6	24	1
7	1	0
7	2	1
7	3	0
7	4	4
7	5	1
7	6	2
7	7	5
7	8	7
7	9	3
7	10	4
7	11	7
7	12	4
7	13	1
7	14	2
7	15	4
7	16	1
7	17	0
7	18	2
7	19	0
7	20	2
7	21	2
7	22	0
7	23	0
7	24	1
