day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	0
1	9	3
1	10	0
1	11	0
1	12	1
1	13	3
1	14	2
1	15	0
1	16	2
1	17	5
1	18	2
1	19	3
1	20	3
1	21	2
1	22	1
1	23	3
1	24	0
2	1	1
2	2	1
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	1
2	9	0
2	10	0
2	11	2
2	12	6
2	13	8
2	14	2
2	15	2
2	16	1
2	17	1
2	18	5
2	19	1
2	20	0
2	21	1
2	22	0
2	23	4
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	2
3	10	3
3	11	2
3	12	2
3	13	4
3	14	6
3	15	2
3	16	1
3	17	5
3	18	2
3	19	2
3	20	1
3	21	0
3	22	1
3	23	3
3	24	1
4	1	1
4	2	2
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	3
4	10	1
4	11	1
4	12	4
4	13	3
4	14	4
4	15	3
4	16	2
4	17	0
4	18	1
4	19	1
4	20	1
4	21	1
4	22	1
4	23	0
4	24	3
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	2
5	10	0
5	11	2
5	12	4
5	13	0
5	14	1
5	15	5
5	16	1
5	17	0
5	18	1
5	19	2
5	20	0
5	21	0
5	22	0
5	23	1
5	24	0
6	1	0
6	2	0
6	3	1
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	0
6	12	1
6	13	0
6	14	1
6	15	1
6	16	0
6	17	1
6	18	1
6	19	0
6	20	0
6	21	2
6	22	0
6	23	2
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	1
7	12	4
7	13	3
7	14	2
7	15	0
7	16	0
7	17	0
7	18	0
7	19	2
7	20	2
7	21	1
7	22	0
7	23	0
7	24	0
