day	hour	value
1	1	3
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	2
1	12	0
1	13	6
1	14	4
1	15	2
1	16	6
1	17	5
1	18	3
1	19	6
1	20	2
1	21	2
1	22	4
1	23	5
1	24	0
2	1	4
2	2	2
2	3	2
2	4	0
2	5	0
2	6	0
2	7	1
2	8	0
2	9	0
2	10	2
2	11	2
2	12	2
2	13	1
2	14	2
2	15	4
2	16	2
2	17	3
2	18	2
2	19	1
2	20	3
2	21	5
2	22	8
2	23	3
2	24	3
3	1	2
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	1
3	10	3
3	11	3
3	12	7
3	13	3
3	14	3
3	15	5
3	16	5
3	17	2
3	18	4
3	19	2
3	20	2
3	21	6
3	22	6
3	23	3
3	24	1
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	4
4	11	3
4	12	3
4	13	4
4	14	6
4	15	2
4	16	2
4	17	3
4	18	1
4	19	3
4	20	4
4	21	8
4	22	5
4	23	6
4	24	5
5	1	4
5	2	1
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	2
5	11	4
5	12	8
5	13	3
5	14	5
5	15	2
5	16	4
5	17	5
5	18	4
5	19	3
5	20	1
5	21	4
5	22	4
5	23	5
5	24	3
6	1	3
6	2	2
6	3	1
6	4	0
6	5	0
6	6	0
6	7	1
6	8	0
6	9	0
6	10	1
6	11	1
6	12	8
6	13	4
6	14	6
6	15	1
6	16	7
6	17	5
6	18	6
6	19	2
6	20	5
6	21	4
6	22	4
6	23	3
6	24	2
7	1	3
7	2	1
7	3	1
7	4	0
7	5	1
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	2
7	12	4
7	13	3
7	14	5
7	15	2
7	16	10
7	17	2
7	18	2
7	19	3
7	20	3
7	21	4
7	22	8
7	23	4
7	24	3
