day	hour	value
1	1	2
1	2	4
1	3	2
1	4	3
1	5	5
1	6	4
1	7	3
1	8	5
1	9	2
1	10	3
1	11	4
1	12	2
1	13	2
1	14	4
1	15	2
1	16	2
1	17	4
1	18	2
1	19	3
1	20	4
1	21	4
1	22	2
1	23	4
1	24	3
2	1	3
2	2	4
2	3	2
2	4	2
2	5	6
2	6	2
2	7	2
2	8	4
2	9	3
2	10	2
2	11	5
2	12	4
2	13	2
2	14	4
2	15	2
2	16	2
2	17	6
2	18	3
2	19	2
2	20	4
2	21	3
2	22	2
2	23	3
2	24	1
3	1	1
3	2	2
3	3	1
3	4	1
3	5	2
3	6	1
3	7	2
3	8	2
3	9	1
3	10	1
3	11	2
3	12	1
3	13	1
3	14	2
3	15	1
3	16	2
3	17	2
3	18	1
3	19	1
3	20	2
3	21	1
3	22	2
3	23	2
3	24	1
4	1	1
4	2	2
4	3	1
4	4	1
4	5	2
4	6	1
4	7	1
4	8	3
4	9	1
4	10	1
4	11	3
4	12	1
4	13	1
4	14	2
4	15	2
4	16	1
4	17	2
4	18	1
4	19	2
4	20	2
4	21	1
4	22	1
4	23	2
4	24	1
5	1	1
5	2	2
5	3	1
5	4	1
5	5	2
5	6	1
5	7	1
5	8	2
5	9	1
5	10	1
5	11	3
5	12	1
5	13	1
5	14	2
5	15	1
5	16	1
5	17	3
5	18	2
5	19	4
5	20	2
5	21	1
5	22	2
5	23	2
5	24	1
6	1	1
6	2	2
6	3	1
6	4	1
6	5	2
6	6	1
6	7	2
6	8	4
6	9	3
6	10	2
6	11	4
6	12	2
6	13	4
6	14	4
6	15	2
6	16	2
6	17	4
6	18	2
6	19	2
6	20	4
6	21	2
6	22	2
6	23	4
6	24	2
7	1	4
7	2	4
7	3	2
7	4	7
7	5	4
7	6	2
7	7	2
7	8	4
7	9	5
7	10	2
7	11	5
7	12	3
7	13	2
7	14	4
7	15	2
7	16	2
7	17	6
7	18	3
7	19	2
7	20	4
7	21	3
7	22	4
7	23	4
7	24	2
