day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	2
1	10	20
1	11	34
1	12	11
1	13	5
1	14	3
1	15	4
1	16	1
1	17	1
1	18	4
1	19	2
1	20	2
1	21	0
1	22	0
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	22
2	11	26
2	12	16
2	13	6
2	14	4
2	15	4
2	16	0
2	17	2
2	18	2
2	19	1
2	20	1
2	21	0
2	22	0
2	23	2
2	24	0
3	1	0
3	2	2
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	2
3	10	18
3	11	30
3	12	19
3	13	2
3	14	3
3	15	9
3	16	7
3	17	2
3	18	3
3	19	3
3	20	3
3	21	3
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	2
4	10	25
4	11	21
4	12	13
4	13	9
4	14	7
4	15	2
4	16	4
4	17	4
4	18	4
4	19	1
4	20	2
4	21	2
4	22	0
4	23	0
4	24	2
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	2
5	10	19
5	11	29
5	12	10
5	13	11
5	14	2
5	15	1
5	16	1
5	17	5
5	18	0
5	19	0
5	20	0
5	21	0
5	22	1
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	0
6	10	1
6	11	5
6	12	21
6	13	11
6	14	3
6	15	3
6	16	5
6	17	6
6	18	5
6	19	5
6	20	2
6	21	0
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	3
7	12	9
7	13	2
7	14	2
7	15	1
7	16	0
7	17	0
7	18	1
7	19	1
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
