day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	2
1	12	14
1	13	3
1	14	0
1	15	1
1	16	11
1	17	5
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	1
2	11	0
2	12	2
2	13	0
2	14	0
2	15	0
2	16	1
2	17	0
2	18	0
2	19	6
2	20	6
2	21	2
2	22	2
2	23	0
2	24	1
3	1	7
3	2	4
3	3	15
3	4	19
3	5	1
3	6	0
3	7	0
3	8	0
3	9	0
3	10	2
3	11	9
3	12	10
3	13	11
3	14	5
3	15	1
3	16	5
3	17	3
3	18	7
3	19	1
3	20	0
3	21	1
3	22	0
3	23	8
3	24	11
4	1	11
4	2	7
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	1
4	11	7
4	12	5
4	13	0
4	14	0
4	15	0
4	16	0
4	17	1
4	18	2
4	19	3
4	20	0
4	21	6
4	22	4
4	23	10
4	24	3
5	1	4
5	2	3
5	3	0
5	4	2
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	1
5	12	0
5	13	1
5	14	4
5	15	1
5	16	9
5	17	4
5	18	1
5	19	0
5	20	0
5	21	3
5	22	1
5	23	1
5	24	1
6	1	2
6	2	7
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	7
6	13	5
6	14	4
6	15	4
6	16	3
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	12
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	1
7	16	5
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	1
7	23	0
7	24	0
