day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	2
1	11	7
1	12	9
1	13	6
1	14	4
1	15	7
1	16	2
1	17	4
1	18	1
1	19	0
1	20	0
1	21	1
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	0
2	11	13
2	12	5
2	13	4
2	14	6
2	15	8
2	16	9
2	17	8
2	18	9
2	19	6
2	20	4
2	21	4
2	22	4
2	23	6
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	1
3	10	1
3	11	4
3	12	2
3	13	9
3	14	16
3	15	13
3	16	9
3	17	8
3	18	11
3	19	8
3	20	6
3	21	2
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	1
4	10	1
4	11	7
4	12	11
4	13	10
4	14	8
4	15	12
4	16	3
4	17	10
4	18	8
4	19	7
4	20	2
4	21	8
4	22	0
4	23	1
4	24	0
5	1	1
5	2	0
5	3	0
5	4	1
5	5	0
5	6	0
5	7	0
5	8	0
5	9	3
5	10	2
5	11	10
5	12	3
5	13	18
5	14	8
5	15	6
5	16	6
5	17	6
5	18	1
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	2
6	12	3
6	13	1
6	14	1
6	15	2
6	16	2
6	17	0
6	18	0
6	19	1
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	1
7	13	1
7	14	1
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	1
7	21	0
7	22	0
7	23	0
7	24	0
