day	hour	value
1	1	1
1	2	0
1	3	0
1	4	1
1	5	0
1	6	0
1	7	6
1	8	2
1	9	0
1	10	1
1	11	0
1	12	0
1	13	2
1	14	1
1	15	2
1	16	1
1	17	0
1	18	7
1	19	8
1	20	4
1	21	8
1	22	8
1	23	15
1	24	17
2	1	2
2	2	0
2	3	2
2	4	0
2	5	0
2	6	0
2	7	5
2	8	3
2	9	1
2	10	0
2	11	1
2	12	1
2	13	1
2	14	1
2	15	2
2	16	1
2	17	4
2	18	6
2	19	8
2	20	2
2	21	2
2	22	9
2	23	3
2	24	5
3	1	3
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	5
3	8	0
3	9	1
3	10	0
3	11	0
3	12	0
3	13	1
3	14	0
3	15	1
3	16	1
3	17	4
3	18	0
3	19	4
3	20	2
3	21	3
3	22	4
3	23	6
3	24	7
4	1	0
4	2	0
4	3	1
4	4	0
4	5	0
4	6	0
4	7	4
4	8	3
4	9	0
4	10	0
4	11	0
4	12	1
4	13	4
4	14	0
4	15	2
4	16	1
4	17	1
4	18	3
4	19	0
4	20	3
4	21	4
4	22	5
4	23	4
4	24	3
5	1	5
5	2	0
5	3	0
5	4	1
5	5	0
5	6	0
5	7	2
5	8	2
5	9	4
5	10	0
5	11	3
5	12	1
5	13	5
5	14	0
5	15	0
5	16	0
5	17	1
5	18	2
5	19	9
5	20	5
5	21	1
5	22	6
5	23	5
5	24	8
6	1	4
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	3
6	9	4
6	10	3
6	11	1
6	12	0
6	13	5
6	14	2
6	15	5
6	16	1
6	17	6
6	18	2
6	19	1
6	20	0
6	21	4
6	22	4
6	23	3
6	24	5
7	1	5
7	2	1
7	3	0
7	4	0
7	5	0
7	6	1
7	7	0
7	8	7
7	9	4
7	10	4
7	11	4
7	12	6
7	13	4
7	14	3
7	15	4
7	16	5
7	17	3
7	18	0
7	19	3
7	20	7
7	21	3
7	22	4
7	23	11
7	24	5
