day	hour	value
1	1	3
1	2	1
1	3	3
1	4	2
1	5	2
1	6	2
1	7	3
1	8	2
1	9	4
1	10	1
1	11	3
1	12	4
1	13	1
1	14	3
1	15	2
1	16	5
1	17	2
1	18	3
1	19	7
1	20	4
1	21	3
1	22	1
1	23	4
1	24	1
2	1	1
2	2	3
2	3	1
2	4	0
2	5	3
2	6	1
2	7	1
2	8	3
2	9	2
2	10	1
2	11	3
2	12	2
2	13	0
2	14	3
2	15	3
2	16	1
2	17	4
2	18	5
2	19	3
2	20	3
2	21	4
2	22	1
2	23	2
2	24	2
3	1	1
3	2	3
3	3	3
3	4	1
3	5	3
3	6	1
3	7	2
3	8	2
3	9	2
3	10	4
3	11	2
3	12	2
3	13	3
3	14	3
3	15	2
3	16	2
3	17	3
3	18	4
3	19	5
3	20	4
3	21	6
3	22	2
3	23	3
3	24	1
4	1	3
4	2	2
4	3	1
4	4	2
4	5	2
4	6	1
4	7	3
4	8	1
4	9	3
4	10	4
4	11	3
4	12	2
4	13	3
4	14	6
4	15	3
4	16	3
4	17	0
4	18	3
4	19	7
4	20	3
4	21	4
4	22	6
4	23	2
4	24	2
5	1	2
5	2	1
5	3	2
5	4	2
5	5	2
5	6	2
5	7	0
5	8	2
5	9	3
5	10	2
5	11	2
5	12	3
5	13	3
5	14	2
5	15	3
5	16	1
5	17	3
5	18	1
5	19	6
5	20	1
5	21	3
5	22	1
5	23	4
5	24	2
6	1	1
6	2	3
6	3	1
6	4	1
6	5	1
6	6	1
6	7	6
6	8	3
6	9	4
6	10	5
6	11	0
6	12	2
6	13	2
6	14	1
6	15	2
6	16	1
6	17	2
6	18	3
6	19	8
6	20	3
6	21	1
6	22	0
6	23	1
6	24	0
7	1	4
7	2	1
7	3	1
7	4	3
7	5	0
7	6	0
7	7	2
7	8	2
7	9	2
7	10	1
7	11	3
7	12	1
7	13	2
7	14	2
7	15	0
7	16	2
7	17	1
7	18	0
7	19	7
7	20	1
7	21	0
7	22	3
7	23	1
7	24	3
