day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	4
1	8	0
1	9	3
1	10	4
1	11	8
1	12	0
1	13	4
1	14	8
1	15	16
1	16	0
1	17	4
1	18	8
1	19	4
1	20	0
1	21	0
1	22	0
1	23	0
1	24	3
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	3
2	8	0
2	9	3
2	10	3
2	11	5
2	12	0
2	13	3
2	14	6
2	15	11
2	16	0
2	17	6
2	18	5
2	19	3
2	20	0
2	21	0
2	22	0
2	23	0
2	24	3
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	3
3	8	0
3	9	3
3	10	3
3	11	5
3	12	0
3	13	3
3	14	6
3	15	14
3	16	0
3	17	3
3	18	5
3	19	3
3	20	0
3	21	0
3	22	0
3	23	0
3	24	3
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	3
4	8	0
4	9	3
4	10	0
4	11	6
4	12	3
4	13	3
4	14	4
4	15	11
4	16	0
4	17	6
4	18	6
4	19	3
4	20	0
4	21	0
4	22	0
4	23	0
4	24	3
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	3
5	8	0
5	9	3
5	10	3
5	11	6
5	12	3
5	13	3
5	14	7
5	15	14
5	16	4
5	17	3
5	18	7
5	19	5
5	20	1
5	21	0
5	22	0
5	23	0
5	24	3
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	3
6	8	1
6	9	3
6	10	1
6	11	3
6	12	1
6	13	3
6	14	4
6	15	10
6	16	3
6	17	3
6	18	4
6	19	4
6	20	1
6	21	0
6	22	0
6	23	0
6	24	4
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	4
7	8	0
7	9	4
7	10	0
7	11	8
7	12	0
7	13	8
7	14	4
7	15	16
7	16	0
7	17	8
7	18	4
7	19	4
7	20	0
7	21	0
7	22	0
7	23	0
7	24	4
