day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	2
1	11	1
1	12	2
1	13	2
1	14	2
1	15	1
1	16	3
1	17	2
1	18	5
1	19	1
1	20	2
1	21	6
1	22	3
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	1
2	11	2
2	12	2
2	13	2
2	14	6
2	15	21
2	16	1
2	17	3
2	18	3
2	19	3
2	20	2
2	21	5
2	22	3
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	3
3	11	3
3	12	3
3	13	2
3	14	4
3	15	1
3	16	3
3	17	2
3	18	3
3	19	3
3	20	2
3	21	2
3	22	2
3	23	1
3	24	0
4	1	5
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	4
4	11	3
4	12	6
4	13	2
4	14	6
4	15	2
4	16	3
4	17	3
4	18	3
4	19	3
4	20	2
4	21	5
4	22	7
4	23	6
4	24	3
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	1
5	11	3
5	12	2
5	13	3
5	14	4
5	15	1
5	16	0
5	17	1
5	18	1
5	19	1
5	20	2
5	21	4
5	22	2
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	1
6	12	3
6	13	4
6	14	7
6	15	3
6	16	2
6	17	5
6	18	1
6	19	4
6	20	2
6	21	2
6	22	2
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	1
7	12	5
7	13	2
7	14	2
7	15	3
7	16	3
7	17	0
7	18	2
7	19	0
7	20	2
7	21	2
7	22	2
7	23	0
7	24	0
