day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	4
1	9	1
1	10	4
1	11	0
1	12	0
1	13	0
1	14	0
1	15	1
1	16	1
1	17	0
1	18	3
1	19	1
1	20	0
1	21	1
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	1
2	6	2
2	7	0
2	8	4
2	9	0
2	10	1
2	11	1
2	12	0
2	13	1
2	14	0
2	15	1
2	16	2
2	17	0
2	18	1
2	19	1
2	20	1
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	3
3	6	2
3	7	3
3	8	2
3	9	1
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	1
3	16	0
3	17	0
3	18	0
3	19	1
3	20	4
3	21	1
3	22	2
3	23	7
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	2
4	6	0
4	7	2
4	8	8
4	9	1
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	1
4	18	0
4	19	8
4	20	3
4	21	2
4	22	0
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	1
5	6	0
5	7	2
5	8	14
5	9	5
5	10	3
5	11	1
5	12	0
5	13	2
5	14	0
5	15	0
5	16	1
5	17	2
5	18	3
5	19	1
5	20	1
5	21	9
5	22	1
5	23	0
5	24	0
6	1	1
6	2	0
6	3	0
6	4	0
6	5	2
6	6	0
6	7	0
6	8	1
6	9	2
6	10	3
6	11	1
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	1
6	20	2
6	21	0
6	22	3
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	1
7	9	2
7	10	0
7	11	2
7	12	4
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	1
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
