day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	2
1	7	8
1	8	5
1	9	1
1	10	3
1	11	1
1	12	0
1	13	0
1	14	0
1	15	1
1	16	0
1	17	0
1	18	3
1	19	4
1	20	0
1	21	2
1	22	1
1	23	2
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	3
2	6	9
2	7	7
2	8	2
2	9	1
2	10	0
2	11	0
2	12	1
2	13	0
2	14	0
2	15	0
2	16	4
2	17	1
2	18	3
2	19	2
2	20	0
2	21	1
2	22	0
2	23	4
2	24	0
3	1	0
3	2	0
3	3	1
3	4	0
3	5	5
3	6	16
3	7	22
3	8	6
3	9	5
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	2
3	16	0
3	17	0
3	18	2
3	19	4
3	20	3
3	21	5
3	22	2
3	23	3
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	1
4	6	4
4	7	13
4	8	10
4	9	8
4	10	2
4	11	3
4	12	0
4	13	1
4	14	3
4	15	1
4	16	1
4	17	5
4	18	0
4	19	5
4	20	3
4	21	0
4	22	0
4	23	1
4	24	1
5	1	0
5	2	0
5	3	0
5	4	2
5	5	1
5	6	6
5	7	20
5	8	45
5	9	18
5	10	16
5	11	2
5	12	3
5	13	1
5	14	0
5	15	1
5	16	8
5	17	2
5	18	3
5	19	7
5	20	8
5	21	2
5	22	1
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	1
6	6	1
6	7	5
6	8	4
6	9	6
6	10	6
6	11	10
6	12	1
6	13	0
6	14	0
6	15	0
6	16	5
6	17	0
6	18	4
6	19	3
6	20	0
6	21	1
6	22	2
6	23	1
6	24	2
7	1	1
7	2	0
7	3	0
7	4	1
7	5	0
7	6	0
7	7	1
7	8	2
7	9	2
7	10	4
7	11	2
7	12	1
7	13	1
7	14	3
7	15	1
7	16	0
7	17	0
7	18	0
7	19	0
7	20	4
7	21	1
7	22	2
7	23	0
7	24	0
