day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	1
1	6	4
1	7	6
1	8	0
1	9	6
1	10	0
1	11	0
1	12	3
1	13	3
1	14	3
1	15	1
1	16	0
1	17	6
1	18	2
1	19	5
1	20	1
1	21	1
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	2
2	6	0
2	7	0
2	8	9
2	9	2
2	10	1
2	11	4
2	12	0
2	13	0
2	14	0
2	15	0
2	16	1
2	17	0
2	18	3
2	19	0
2	20	2
2	21	1
2	22	4
2	23	2
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	2
3	9	2
3	10	3
3	11	0
3	12	2
3	13	2
3	14	1
3	15	0
3	16	1
3	17	1
3	18	7
3	19	0
3	20	3
3	21	3
3	22	0
3	23	0
3	24	1
4	1	0
4	2	0
4	3	0
4	4	1
4	5	0
4	6	0
4	7	0
4	8	1
4	9	1
4	10	1
4	11	1
4	12	3
4	13	0
4	14	0
4	15	0
4	16	4
4	17	0
4	18	0
4	19	0
4	20	1
4	21	0
4	22	2
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	2
5	7	3
5	8	0
5	9	3
5	10	2
5	11	0
5	12	1
5	13	4
5	14	0
5	15	1
5	16	2
5	17	0
5	18	3
5	19	1
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	1
6	3	0
6	4	0
6	5	0
6	6	0
6	7	3
6	8	0
6	9	1
6	10	1
6	11	0
6	12	0
6	13	0
6	14	1
6	15	2
6	16	5
6	17	2
6	18	2
6	19	3
6	20	2
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	3
7	9	0
7	10	1
7	11	1
7	12	0
7	13	1
7	14	0
7	15	1
7	16	4
7	17	2
7	18	2
7	19	1
7	20	7
7	21	2
7	22	1
7	23	1
7	24	0
