day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	1
1	6	3
1	7	0
1	8	0
1	9	2
1	10	1
1	11	0
1	12	2
1	13	0
1	14	0
1	15	0
1	16	1
1	17	3
1	18	0
1	19	6
1	20	2
1	21	3
1	22	3
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	1
2	5	1
2	6	0
2	7	1
2	8	2
2	9	0
2	10	1
2	11	2
2	12	0
2	13	1
2	14	2
2	15	3
2	16	2
2	17	0
2	18	6
2	19	1
2	20	4
2	21	1
2	22	8
2	23	2
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	3
3	6	0
3	7	0
3	8	4
3	9	4
3	10	6
3	11	3
3	12	4
3	13	3
3	14	0
3	15	3
3	16	0
3	17	0
3	18	6
3	19	1
3	20	3
3	21	0
3	22	2
3	23	1
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	2
4	9	1
4	10	1
4	11	1
4	12	3
4	13	1
4	14	0
4	15	1
4	16	1
4	17	4
4	18	0
4	19	0
4	20	1
4	21	0
4	22	1
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	1
5	8	3
5	9	0
5	10	0
5	11	0
5	12	2
5	13	3
5	14	0
5	15	0
5	16	2
5	17	0
5	18	0
5	19	2
5	20	1
5	21	1
5	22	1
5	23	0
5	24	0
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	1
6	9	1
6	10	4
6	11	6
6	12	2
6	13	3
6	14	3
6	15	6
6	16	7
6	17	3
6	18	5
6	19	1
6	20	1
6	21	0
6	22	1
6	23	0
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	1
7	11	1
7	12	3
7	13	0
7	14	1
7	15	0
7	16	1
7	17	1
7	18	4
7	19	5
7	20	3
7	21	1
7	22	0
7	23	0
7	24	0
