day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	7
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	5
1	16	0
1	17	0
1	18	0
1	19	3
1	20	0
1	21	2
1	22	4
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	5
2	15	0
2	16	0
2	17	0
2	18	1
2	19	0
2	20	13
2	21	2
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	5
3	11	2
3	12	5
3	13	0
3	14	0
3	15	3
3	16	4
3	17	1
3	18	1
3	19	0
3	20	7
3	21	0
3	22	0
3	23	2
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	28
4	11	12
4	12	12
4	13	15
4	14	9
4	15	5
4	16	1
4	17	0
4	18	0
4	19	36
4	20	0
4	21	11
4	22	3
4	23	0
4	24	5
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	7
5	9	9
5	10	7
5	11	6
5	12	1
5	13	12
5	14	6
5	15	0
5	16	1
5	17	7
5	18	10
5	19	12
5	20	0
5	21	15
5	22	0
5	23	0
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	11
7	12	0
7	13	0
7	14	0
7	15	0
7	16	8
7	17	23
7	18	6
7	19	1
7	20	2
7	21	0
7	22	0
7	23	0
7	24	0
