day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	1
1	6	0
1	7	0
1	8	3
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	6
1	16	0
1	17	1
1	18	0
1	19	7
1	20	0
1	21	0
1	22	3
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	1
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	1
2	12	0
2	13	0
2	14	2
2	15	0
2	16	0
2	17	1
2	18	0
2	19	0
2	20	6
2	21	2
2	22	0
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	6
3	11	14
3	12	3
3	13	1
3	14	1
3	15	2
3	16	5
3	17	0
3	18	0
3	19	0
3	20	2
3	21	0
3	22	0
3	23	1
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	1
4	6	0
4	7	0
4	8	0
4	9	0
4	10	28
4	11	20
4	12	3
4	13	13
4	14	14
4	15	3
4	16	2
4	17	1
4	18	0
4	19	9
4	20	0
4	21	2
4	22	5
4	23	1
4	24	3
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	8
5	9	1
5	10	0
5	11	7
5	12	0
5	13	4
5	14	1
5	15	0
5	16	0
5	17	3
5	18	0
5	19	1
5	20	0
5	21	4
5	22	0
5	23	0
5	24	1
6	1	0
6	2	1
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	1
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	1
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	7
7	12	0
7	13	0
7	14	1
7	15	0
7	16	1
7	17	16
7	18	2
7	19	0
7	20	1
7	21	0
7	22	0
7	23	0
7	24	0
