day	hour	value
1	1	2
1	2	2
1	3	2
1	4	2
1	5	2
1	6	4
1	7	4
1	8	7
1	9	5
1	10	5
1	11	4
1	12	6
1	13	5
1	14	4
1	15	7
1	16	4
1	17	4
1	18	4
1	19	4
1	20	4
1	21	4
1	22	4
1	23	3
1	24	1
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	2
2	7	2
2	8	2
2	9	5
2	10	2
2	11	2
2	12	3
2	13	2
2	14	2
2	15	2
2	16	2
2	17	3
2	18	3
2	19	2
2	20	2
2	21	2
2	22	2
2	23	3
2	24	1
3	1	1
3	2	1
3	3	1
3	4	1
3	5	1
3	6	2
3	7	2
3	8	2
3	9	2
3	10	2
3	11	2
3	12	2
3	13	2
3	14	2
3	15	2
3	16	2
3	17	3
3	18	2
3	19	3
3	20	3
3	21	2
3	22	2
3	23	2
3	24	1
4	1	1
4	2	1
4	3	1
4	4	1
4	5	0
4	6	2
4	7	3
4	8	3
4	9	4
4	10	2
4	11	2
4	12	2
4	13	2
4	14	2
4	15	2
4	16	3
4	17	2
4	18	2
4	19	2
4	20	2
4	21	3
4	22	2
4	23	2
4	24	1
5	1	1
5	2	1
5	3	1
5	4	1
5	5	1
5	6	2
5	7	2
5	8	7
5	9	2
5	10	3
5	11	3
5	12	2
5	13	4
5	14	3
5	15	5
5	16	7
5	17	3
5	18	5
5	19	4
5	20	4
5	21	4
5	22	4
5	23	4
5	24	2
6	1	2
6	2	2
6	3	2
6	4	2
6	5	2
6	6	4
6	7	4
6	8	4
6	9	5
6	10	4
6	11	3
6	12	5
6	13	4
6	14	4
6	15	4
6	16	4
6	17	5
6	18	4
6	19	4
6	20	4
6	21	4
6	22	4
6	23	4
6	24	2
7	1	2
7	2	2
7	3	2
7	4	2
7	5	2
7	6	4
7	7	6
7	8	4
7	9	4
7	10	4
7	11	5
7	12	5
7	13	4
7	14	4
7	15	3
7	16	4
7	17	4
7	18	4
7	19	5
7	20	4
7	21	4
7	22	4
7	23	5
7	24	2
