day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	2
1	6	0
1	7	0
1	8	0
1	9	0
1	10	2
1	11	0
1	12	0
1	13	0
1	14	2
1	15	0
1	16	1
1	17	4
1	18	6
1	19	3
1	20	1
1	21	3
1	22	5
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	1
2	11	0
2	12	2
2	13	3
2	14	2
2	15	0
2	16	4
2	17	2
2	18	5
2	19	0
2	20	2
2	21	6
2	22	5
2	23	3
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	2
3	7	2
3	8	0
3	9	0
3	10	1
3	11	2
3	12	2
3	13	0
3	14	0
3	15	0
3	16	2
3	17	1
3	18	1
3	19	4
3	20	4
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	3
4	7	1
4	8	0
4	9	0
4	10	0
4	11	0
4	12	2
4	13	0
4	14	0
4	15	0
4	16	4
4	17	1
4	18	4
4	19	0
4	20	0
4	21	1
4	22	1
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	2
5	7	1
5	8	1
5	9	0
5	10	2
5	11	0
5	12	1
5	13	1
5	14	2
5	15	0
5	16	0
5	17	1
5	18	0
5	19	0
5	20	1
5	21	0
5	22	2
5	23	2
5	24	0
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	4
6	9	2
6	10	0
6	11	0
6	12	2
6	13	0
6	14	1
6	15	4
6	16	0
6	17	4
6	18	3
6	19	1
6	20	1
6	21	0
6	22	1
6	23	0
6	24	0
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	1
7	10	2
7	11	0
7	12	4
7	13	1
7	14	0
7	15	1
7	16	0
7	17	1
7	18	2
7	19	0
7	20	0
7	21	2
7	22	2
7	23	0
7	24	0
