day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	0
1	10	0
1	11	1
1	12	0
1	13	0
1	14	0
1	15	2
1	16	0
1	17	0
1	18	1
1	19	0
1	20	2
1	21	0
1	22	1
1	23	1
1	24	0
2	1	2
2	2	0
2	3	0
2	4	0
2	5	1
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	1
2	13	0
2	14	0
2	15	1
2	16	2
2	17	11
2	18	1
2	19	0
2	20	6
2	21	2
2	22	0
2	23	3
2	24	0
3	1	3
3	2	0
3	3	0
3	4	0
3	5	1
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	1
3	12	0
3	13	4
3	14	3
3	15	0
3	16	1
3	17	0
3	18	0
3	19	2
3	20	5
3	21	21
3	22	3
3	23	0
3	24	7
4	1	2
4	2	0
4	3	1
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	2
4	11	0
4	12	1
4	13	2
4	14	0
4	15	4
4	16	1
4	17	0
4	18	1
4	19	1
4	20	4
4	21	2
4	22	1
4	23	2
4	24	0
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	1
5	10	1
5	11	0
5	12	0
5	13	0
5	14	1
5	15	0
5	16	1
5	17	2
5	18	1
5	19	0
5	20	1
5	21	1
5	22	2
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	0
6	13	2
6	14	0
6	15	0
6	16	0
6	17	4
6	18	1
6	19	2
6	20	2
6	21	0
6	22	1
6	23	1
6	24	1
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	1
7	14	0
7	15	0
7	16	1
7	17	3
7	18	1
7	19	3
7	20	0
7	21	2
7	22	0
7	23	1
7	24	1
