day	hour	value
1	1	5
1	2	3
1	3	0
1	4	0
1	5	0
1	6	1
1	7	1
1	8	3
1	9	1
1	10	2
1	11	0
1	12	1
1	13	3
1	14	12
1	15	8
1	16	3
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	8
2	2	2
2	3	0
2	4	0
2	5	0
2	6	3
2	7	3
2	8	1
2	9	0
2	10	0
2	11	0
2	12	3
2	13	1
2	14	10
2	15	5
2	16	5
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	7
3	2	0
3	3	0
3	4	1
3	5	0
3	6	3
3	7	2
3	8	0
3	9	0
3	10	0
3	11	0
3	12	2
3	13	2
3	14	9
3	15	4
3	16	3
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	3
4	2	1
4	3	2
4	4	0
4	5	0
4	6	0
4	7	1
4	8	0
4	9	0
4	10	0
4	11	0
4	12	6
4	13	3
4	14	10
4	15	3
4	16	3
4	17	0
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	9
5	2	1
5	3	2
5	4	0
5	5	0
5	6	6
5	7	6
5	8	9
5	9	1
5	10	0
5	11	0
5	12	3
5	13	10
5	14	5
5	15	12
5	16	5
5	17	1
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	3
6	2	3
6	3	4
6	4	4
6	5	17
6	6	8
6	7	4
6	8	15
6	9	6
6	10	1
6	11	1
6	12	1
6	13	6
6	14	8
6	15	8
6	16	5
6	17	5
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	3
7	2	3
7	3	1
7	4	0
7	5	1
7	6	9
7	7	2
7	8	3
7	9	3
7	10	3
7	11	1
7	12	2
7	13	3
7	14	19
7	15	6
7	16	6
7	17	2
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	2
