day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	4
1	7	7
1	8	10
1	9	7
1	10	9
1	11	6
1	12	5
1	13	6
1	14	7
1	15	2
1	16	2
1	17	4
1	18	2
1	19	2
1	20	6
1	21	3
1	22	2
1	23	3
1	24	1
2	1	1
2	2	0
2	3	1
2	4	0
2	5	0
2	6	4
2	7	9
2	8	6
2	9	4
2	10	5
2	11	6
2	12	2
2	13	5
2	14	5
2	15	2
2	16	7
2	17	2
2	18	2
2	19	3
2	20	7
2	21	2
2	22	6
2	23	2
2	24	2
3	1	0
3	2	0
3	3	1
3	4	0
3	5	1
3	6	0
3	7	2
3	8	1
3	9	2
3	10	2
3	11	2
3	12	1
3	13	1
3	14	3
3	15	1
3	16	2
3	17	1
3	18	2
3	19	2
3	20	3
3	21	3
3	22	1
3	23	1
3	24	2
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	1
4	8	3
4	9	3
4	10	2
4	11	2
4	12	2
4	13	3
4	14	6
4	15	1
4	16	4
4	17	1
4	18	1
4	19	1
4	20	3
4	21	2
4	22	2
4	23	1
4	24	2
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	1
5	8	3
5	9	3
5	10	1
5	11	2
5	12	4
5	13	1
5	14	1
5	15	3
5	16	1
5	17	3
5	18	1
5	19	1
5	20	1
5	21	1
5	22	2
5	23	1
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	1
6	9	2
6	10	2
6	11	2
6	12	2
6	13	2
6	14	2
6	15	1
6	16	1
6	17	4
6	18	2
6	19	3
6	20	4
6	21	2
6	22	3
6	23	3
6	24	2
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	1
7	7	2
7	8	3
7	9	4
7	10	3
7	11	3
7	12	2
7	13	4
7	14	3
7	15	2
7	16	5
7	17	3
7	18	2
7	19	2
7	20	6
7	21	4
7	22	3
7	23	2
7	24	1
