day	hour	value
1	1	3
1	2	0
1	3	3
1	4	1
1	5	1
1	6	3
1	7	3
1	8	1
1	9	2
1	10	5
1	11	4
1	12	2
1	13	4
1	14	5
1	15	3
1	16	2
1	17	2
1	18	2
1	19	3
1	20	2
1	21	3
1	22	4
1	23	2
1	24	1
2	1	2
2	2	5
2	3	2
2	4	1
2	5	2
2	6	3
2	7	1
2	8	3
2	9	2
2	10	3
2	11	3
2	12	2
2	13	3
2	14	4
2	15	2
2	16	2
2	17	3
2	18	2
2	19	1
2	20	2
2	21	4
2	22	1
2	23	1
2	24	3
3	1	2
3	2	2
3	3	3
3	4	2
3	5	1
3	6	2
3	7	3
3	8	1
3	9	4
3	10	1
3	11	3
3	12	3
3	13	2
3	14	1
3	15	2
3	16	3
3	17	3
3	18	1
3	19	2
3	20	2
3	21	2
3	22	3
3	23	2
3	24	2
4	1	2
4	2	3
4	3	1
4	4	4
4	5	1
4	6	2
4	7	2
4	8	3
4	9	1
4	10	2
4	11	4
4	12	3
4	13	2
4	14	2
4	15	3
4	16	2
4	17	2
4	18	1
4	19	3
4	20	3
4	21	4
4	22	2
4	23	11
4	24	1
5	1	2
5	2	2
5	3	2
5	4	1
5	5	2
5	6	3
5	7	1
5	8	1
5	9	3
5	10	2
5	11	2
5	12	2
5	13	2
5	14	4
5	15	2
5	16	3
5	17	1
5	18	4
5	19	2
5	20	2
5	21	3
5	22	2
5	23	1
5	24	2
6	1	3
6	2	1
6	3	1
6	4	3
6	5	2
6	6	1
6	7	3
6	8	1
6	9	3
6	10	2
6	11	3
6	12	0
6	13	5
6	14	2
6	15	3
6	16	2
6	17	2
6	18	1
6	19	2
6	20	4
6	21	1
6	22	3
6	23	3
6	24	3
7	1	2
7	2	3
7	3	1
7	4	3
7	5	2
7	6	3
7	7	0
7	8	3
7	9	2
7	10	2
7	11	5
7	12	2
7	13	2
7	14	3
7	15	3
7	16	1
7	17	3
7	18	2
7	19	3
7	20	2
7	21	4
7	22	1
7	23	4
7	24	2
