day	hour	value
1	1	1
1	2	1
1	3	1
1	4	1
1	5	3
1	6	2
1	7	2
1	8	2
1	9	2
1	10	2
1	11	2
1	12	1
1	13	1
1	14	2
1	15	1
1	16	1
1	17	2
1	18	1
1	19	0
1	20	3
1	21	3
1	22	2
1	23	3
1	24	1
2	1	2
2	2	3
2	3	1
2	4	1
2	5	3
2	6	1
2	7	1
2	8	3
2	9	1
2	10	2
2	11	2
2	12	3
2	13	72
2	14	16
2	15	3
2	16	4
2	17	2
2	18	1
2	19	3
2	20	3
2	21	1
2	22	3
2	23	3
2	24	2
3	1	2
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	1
3	10	2
3	11	1
3	12	2
3	13	2
3	14	5
3	15	2
3	16	2
3	17	2
3	18	1
3	19	2
3	20	3
3	21	2
3	22	2
3	23	2
3	24	2
4	1	1
4	2	2
4	3	2
4	4	0
4	5	3
4	6	3
4	7	1
4	8	2
4	9	1
4	10	1
4	11	2
4	12	1
4	13	2
4	14	2
4	15	2
4	16	2
4	17	1
4	18	0
4	19	1
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	1
5	5	0
5	6	2
5	7	1
5	8	0
5	9	1
5	10	1
5	11	1
5	12	1
5	13	1
5	14	1
5	15	1
5	16	1
5	17	1
5	18	1
5	19	1
5	20	1
5	21	0
5	22	1
5	23	0
5	24	1
6	1	1
6	2	0
6	3	2
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	1
6	12	1
6	13	1
6	14	0
6	15	1
6	16	0
6	17	1
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	1
7	1	0
7	2	2
7	3	1
7	4	0
7	5	1
7	6	0
7	7	1
7	8	1
7	9	1
7	10	0
7	11	1
7	12	1
7	13	1
7	14	1
7	15	1
7	16	1
7	17	1
7	18	1
7	19	1
7	20	1
7	21	1
7	22	2
7	23	0
7	24	0
