day	hour	value
1	1	3
1	2	4
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	4
1	12	2
1	13	3
1	14	6
1	15	2
1	16	0
1	17	0
1	18	1
1	19	0
1	20	0
1	21	3
1	22	4
1	23	4
1	24	0
2	1	0
2	2	0
2	3	2
2	4	1
2	5	0
2	6	1
2	7	0
2	8	0
2	9	0
2	10	0
2	11	5
2	12	0
2	13	1
2	14	1
2	15	0
2	16	2
2	17	0
2	18	3
2	19	0
2	20	0
2	21	1
2	22	1
2	23	2
2	24	2
3	1	1
3	2	0
3	3	0
3	4	2
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	1
3	13	11
3	14	1
3	15	0
3	16	1
3	17	3
3	18	5
3	19	0
3	20	0
3	21	3
3	22	2
3	23	0
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	2
4	13	3
4	14	0
4	15	1
4	16	0
4	17	0
4	18	0
4	19	2
4	20	3
4	21	0
4	22	1
4	23	0
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	2
5	12	1
5	13	0
5	14	1
5	15	3
5	16	0
5	17	6
5	18	0
5	19	6
5	20	2
5	21	5
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	4
6	10	0
6	11	0
6	12	1
6	13	0
6	14	0
6	15	0
6	16	0
6	17	51
6	18	0
6	19	2
6	20	0
6	21	1
6	22	1
6	23	0
6	24	0
7	1	0
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	4
7	11	0
7	12	4
7	13	0
7	14	0
7	15	0
7	16	0
7	17	7
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
