day	hour	value
1	1	4
1	2	1
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	0
1	12	2
1	13	2
1	14	1
1	15	3
1	16	0
1	17	0
1	18	2
1	19	0
1	20	3
1	21	9
1	22	6
1	23	1
1	24	4
2	1	0
2	2	0
2	3	2
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	0
2	11	4
2	12	1
2	13	0
2	14	1
2	15	0
2	16	0
2	17	2
2	18	1
2	19	0
2	20	1
2	21	0
2	22	1
2	23	1
2	24	1
3	1	1
3	2	2
3	3	1
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	6
3	13	9
3	14	3
3	15	0
3	16	1
3	17	4
3	18	2
3	19	0
3	20	0
3	21	2
3	22	4
3	23	0
3	24	2
4	1	1
4	2	1
4	3	0
4	4	0
4	5	0
4	6	1
4	7	0
4	8	2
4	9	0
4	10	0
4	11	0
4	12	2
4	13	3
4	14	0
4	15	1
4	16	0
4	17	1
4	18	0
4	19	6
4	20	4
4	21	0
4	22	1
4	23	0
4	24	3
5	1	4
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	2
5	11	0
5	12	1
5	13	2
5	14	2
5	15	2
5	16	2
5	17	1
5	18	3
5	19	10
5	20	1
5	21	3
5	22	1
5	23	3
5	24	0
6	1	2
6	2	0
6	3	0
6	4	0
6	5	1
6	6	0
6	7	0
6	8	0
6	9	5
6	10	0
6	11	1
6	12	0
6	13	0
6	14	1
6	15	1
6	16	1
6	17	2
6	18	4
6	19	0
6	20	0
6	21	2
6	22	3
6	23	1
6	24	1
7	1	0
7	2	1
7	3	0
7	4	0
7	5	0
7	6	1
7	7	0
7	8	0
7	9	1
7	10	1
7	11	2
7	12	2
7	13	0
7	14	0
7	15	0
7	16	0
7	17	3
7	18	2
7	19	1
7	20	1
7	21	0
7	22	0
7	23	0
7	24	0
