day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	6
1	8	0
1	9	0
1	10	0
1	11	0
1	12	2
1	13	8
1	14	0
1	15	0
1	16	1
1	17	1
1	18	2
1	19	1
1	20	2
1	21	3
1	22	4
1	23	2
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	3
2	8	5
2	9	0
2	10	0
2	11	0
2	12	1
2	13	1
2	14	1
2	15	0
2	16	0
2	17	0
2	18	2
2	19	3
2	20	5
2	21	2
2	22	0
2	23	11
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	8
3	8	1
3	9	1
3	10	0
3	11	3
3	12	2
3	13	2
3	14	4
3	15	2
3	16	1
3	17	1
3	18	1
3	19	4
3	20	7
3	21	8
3	22	2
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	5
4	8	1
4	9	0
4	10	0
4	11	1
4	12	1
4	13	0
4	14	2
4	15	0
4	16	0
4	17	0
4	18	3
4	19	2
4	20	2
4	21	0
4	22	0
4	23	11
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	6
5	8	3
5	9	2
5	10	2
5	11	2
5	12	3
5	13	0
5	14	2
5	15	2
5	16	6
5	17	1
5	18	0
5	19	0
5	20	4
5	21	8
5	22	4
5	23	7
5	24	3
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	8
6	11	1
6	12	0
6	13	0
6	14	0
6	15	1
6	16	3
6	17	0
6	18	1
6	19	0
6	20	1
6	21	5
6	22	5
6	23	3
6	24	5
7	1	0
7	2	4
7	3	0
7	4	0
7	5	0
7	6	0
7	7	6
7	8	0
7	9	0
7	10	6
7	11	2
7	12	0
7	13	0
7	14	2
7	15	1
7	16	0
7	17	1
7	18	5
7	19	2
7	20	5
7	21	5
7	22	1
7	23	11
7	24	0
