day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	5
1	8	2
1	9	3
1	10	0
1	11	0
1	12	3
1	13	7
1	14	0
1	15	0
1	16	0
1	17	1
1	18	3
1	19	1
1	20	3
1	21	4
1	22	4
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	5
2	8	5
2	9	0
2	10	0
2	11	3
2	12	4
2	13	2
2	14	2
2	15	0
2	16	2
2	17	1
2	18	4
2	19	1
2	20	5
2	21	6
2	22	2
2	23	9
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	7
3	8	2
3	9	2
3	10	1
3	11	3
3	12	3
3	13	1
3	14	5
3	15	2
3	16	0
3	17	0
3	18	0
3	19	2
3	20	4
3	21	4
3	22	3
3	23	2
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	5
4	8	2
4	9	0
4	10	0
4	11	1
4	12	0
4	13	2
4	14	2
4	15	1
4	16	1
4	17	0
4	18	1
4	19	1
4	20	2
4	21	1
4	22	2
4	23	7
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	5
5	8	5
5	9	3
5	10	2
5	11	3
5	12	5
5	13	4
5	14	3
5	15	1
5	16	3
5	17	1
5	18	3
5	19	4
5	20	3
5	21	7
5	22	3
5	23	5
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	2
6	8	1
6	9	4
6	10	10
6	11	4
6	12	3
6	13	0
6	14	4
6	15	6
6	16	1
6	17	0
6	18	2
6	19	2
6	20	1
6	21	5
6	22	4
6	23	4
6	24	5
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	1
7	9	0
7	10	7
7	11	8
7	12	2
7	13	2
7	14	4
7	15	0
7	16	0
7	17	1
7	18	1
7	19	1
7	20	2
7	21	1
7	22	1
7	23	0
7	24	2
