day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	1
1	13	0
1	14	0
1	15	1
1	16	0
1	17	0
1	18	4
1	19	3
1	20	1
1	21	1
1	22	0
1	23	2
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	0
2	10	3
2	11	0
2	12	1
2	13	1
2	14	2
2	15	0
2	16	0
2	17	1
2	18	0
2	19	0
2	20	2
2	21	0
2	22	0
2	23	2
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	1
3	11	1
3	12	2
3	13	0
3	14	2
3	15	0
3	16	0
3	17	0
3	18	0
3	19	3
3	20	0
3	21	0
3	22	1
3	23	0
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	2
4	9	0
4	10	1
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	1
4	18	3
4	19	1
4	20	3
4	21	2
4	22	0
4	23	0
4	24	0
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	11
5	12	2
5	13	2
5	14	0
5	15	0
5	16	0
5	17	1
5	18	0
5	19	3
5	20	3
5	21	1
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	1
6	12	0
6	13	5
6	14	0
6	15	1
6	16	0
6	17	1
6	18	0
6	19	0
6	20	0
6	21	2
6	22	1
6	23	1
6	24	0
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	0
7	11	1
7	12	1
7	13	0
7	14	1
7	15	1
7	16	0
7	17	0
7	18	1
7	19	1
7	20	0
7	21	2
7	22	1
7	23	2
7	24	0
