day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	2
1	10	2
1	11	4
1	12	6
1	13	2
1	14	1
1	15	6
1	16	0
1	17	4
1	18	17
1	19	14
1	20	2
1	21	3
1	22	8
1	23	4
1	24	2
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	3
2	9	2
2	10	9
2	11	3
2	12	4
2	13	4
2	14	8
2	15	4
2	16	3
2	17	12
2	18	4
2	19	1
2	20	9
2	21	2
2	22	2
2	23	5
2	24	1
3	1	2
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	11
3	11	6
3	12	6
3	13	7
3	14	1
3	15	5
3	16	1
3	17	1
3	18	0
3	19	4
3	20	0
3	21	3
3	22	7
3	23	1
3	24	2
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	15
4	9	1
4	10	2
4	11	4
4	12	3
4	13	2
4	14	3
4	15	4
4	16	1
4	17	2
4	18	6
4	19	10
4	20	5
4	21	10
4	22	1
4	23	0
4	24	0
5	1	6
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	4
5	10	3
5	11	21
5	12	6
5	13	4
5	14	4
5	15	2
5	16	1
5	17	7
5	18	5
5	19	7
5	20	5
5	21	0
5	22	1
5	23	2
5	24	1
6	1	0
6	2	1
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	2
6	9	3
6	10	1
6	11	3
6	12	1
6	13	15
6	14	4
6	15	8
6	16	3
6	17	9
6	18	4
6	19	0
6	20	1
6	21	7
6	22	4
6	23	9
6	24	1
7	1	7
7	2	2
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	4
7	9	1
7	10	0
7	11	5
7	12	9
7	13	2
7	14	4
7	15	2
7	16	2
7	17	1
7	18	5
7	19	2
7	20	1
7	21	4
7	22	0
7	23	6
7	24	1
