day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	0
1	9	0
1	10	1
1	11	2
1	12	1
1	13	1
1	14	1
1	15	1
1	16	2
1	17	2
1	18	4
1	19	1
1	20	1
1	21	11
1	22	1
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	1
2	11	1
2	12	1
2	13	1
2	14	1
2	15	1
2	16	1
2	17	2
2	18	0
2	19	0
2	20	2
2	21	0
2	22	0
2	23	0
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	1
3	12	0
3	13	0
3	14	0
3	15	0
3	16	2
3	17	2
3	18	1
3	19	0
3	20	0
3	21	1
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	1
4	13	0
4	14	2
4	15	1
4	16	1
4	17	2
4	18	1
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	1
5	8	0
5	9	3
5	10	1
5	11	1
5	12	0
5	13	3
5	14	1
5	15	1
5	16	1
5	17	2
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	1
6	15	2
6	16	0
6	17	0
6	18	0
6	19	1
6	20	1
6	21	0
6	22	1
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	1
7	10	3
7	11	1
7	12	1
7	13	0
7	14	0
7	15	1
7	16	0
7	17	0
7	18	1
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
