day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	2
1	9	0
1	10	1
1	11	0
1	12	5
1	13	2
1	14	2
1	15	3
1	16	5
1	17	4
1	18	2
1	19	4
1	20	3
1	21	38
1	22	18
1	23	2
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	0
2	9	1
2	10	1
2	11	0
2	12	1
2	13	0
2	14	2
2	15	1
2	16	2
2	17	3
2	18	1
2	19	0
2	20	1
2	21	3
2	22	6
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	0
3	9	0
3	10	5
3	11	2
3	12	0
3	13	1
3	14	2
3	15	1
3	16	3
3	17	1
3	18	1
3	19	1
3	20	2
3	21	16
3	22	4
3	23	2
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	4
4	10	3
4	11	1
4	12	1
4	13	0
4	14	0
4	15	1
4	16	2
4	17	5
4	18	0
4	19	1
4	20	3
4	21	1
4	22	3
4	23	1
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	4
5	9	7
5	10	4
5	11	3
5	12	0
5	13	3
5	14	5
5	15	1
5	16	0
5	17	5
5	18	3
5	19	2
5	20	2
5	21	0
5	22	3
5	23	1
5	24	0
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	2
6	8	1
6	9	1
6	10	3
6	11	1
6	12	0
6	13	2
6	14	0
6	15	7
6	16	4
6	17	0
6	18	3
6	19	2
6	20	0
6	21	3
6	22	0
6	23	1
6	24	1
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	3
7	8	0
7	9	1
7	10	3
7	11	0
7	12	2
7	13	4
7	14	2
7	15	1
7	16	2
7	17	5
7	18	2
7	19	6
7	20	10
7	21	2
7	22	1
7	23	1
7	24	4
