day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	2
1	7	0
1	8	0
1	9	3
1	10	1
1	11	1
1	12	0
1	13	4
1	14	2
1	15	3
1	16	1
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	2
2	5	4
2	6	4
2	7	2
2	8	1
2	9	4
2	10	2
2	11	1
2	12	1
2	13	8
2	14	10
2	15	1
2	16	0
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	2
3	5	1
3	6	2
3	7	9
3	8	5
3	9	4
3	10	2
3	11	0
3	12	5
3	13	7
3	14	1
3	15	0
3	16	2
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	1
4	6	7
4	7	2
4	8	0
4	9	2
4	10	1
4	11	2
4	12	7
4	13	4
4	14	5
4	15	5
4	16	26
4	17	5
4	18	8
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	0
5	10	1
5	11	0
5	12	1
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	1
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	3
7	6	0
7	7	0
7	8	3
7	9	0
7	10	0
7	11	2
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
