day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	1
1	7	4
1	8	3
1	9	1
1	10	3
1	11	2
1	12	3
1	13	3
1	14	0
1	15	7
1	16	4
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	1
2	6	2
2	7	4
2	8	4
2	9	0
2	10	4
2	11	3
2	12	1
2	13	6
2	14	5
2	15	5
2	16	3
2	17	1
2	18	1
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	1
3	2	0
3	3	0
3	4	0
3	5	1
3	6	0
3	7	7
3	8	2
3	9	2
3	10	2
3	11	1
3	12	2
3	13	6
3	14	2
3	15	6
3	16	3
3	17	1
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	1
4	4	0
4	5	1
4	6	0
4	7	2
4	8	1
4	9	1
4	10	1
4	11	3
4	12	5
4	13	2
4	14	3
4	15	7
4	16	2
4	17	3
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	2
5	8	2
5	9	1
5	10	5
5	11	1
5	12	2
5	13	0
5	14	2
5	15	5
5	16	2
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	4
6	8	0
6	9	1
6	10	4
6	11	0
6	12	0
6	13	3
6	14	2
6	15	0
6	16	3
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	4
7	5	6
7	6	0
7	7	0
7	8	0
7	9	0
7	10	6
7	11	1
7	12	2
7	13	2
7	14	1
7	15	1
7	16	4
7	17	2
7	18	4
7	19	4
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
