day	hour	value
1	1	0
1	2	1
1	3	1
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	2
1	11	0
1	12	4
1	13	0
1	14	1
1	15	6
1	16	3
1	17	0
1	18	7
1	19	0
1	20	4
1	21	4
1	22	1
1	23	2
1	24	11
2	1	3
2	2	1
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	1
2	12	2
2	13	2
2	14	2
2	15	7
2	16	1
2	17	5
2	18	1
2	19	1
2	20	1
2	21	3
2	22	0
2	23	1
2	24	3
3	1	6
3	2	1
3	3	3
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	1
3	12	4
3	13	1
3	14	0
3	15	2
3	16	4
3	17	1
3	18	1
3	19	4
3	20	0
3	21	3
3	22	3
3	23	2
3	24	0
4	1	4
4	2	1
4	3	1
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	4
4	13	2
4	14	0
4	15	0
4	16	0
4	17	3
4	18	1
4	19	1
4	20	0
4	21	1
4	22	1
4	23	0
4	24	2
5	1	3
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	1
5	12	1
5	13	4
5	14	9
5	15	1
5	16	4
5	17	2
5	18	3
5	19	3
5	20	2
5	21	3
5	22	5
5	23	3
5	24	1
6	1	2
6	2	2
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	3
6	11	1
6	12	1
6	13	1
6	14	4
6	15	3
6	16	12
6	17	13
6	18	15
6	19	8
6	20	7
6	21	2
6	22	1
6	23	4
6	24	7
7	1	3
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	2
7	10	0
7	11	2
7	12	2
7	13	3
7	14	6
7	15	11
7	16	13
7	17	19
7	18	8
7	19	8
7	20	6
7	21	3
7	22	2
7	23	4
7	24	1
