day	hour	value
1	1	0
1	2	0
1	3	3
1	4	1
1	5	3
1	6	0
1	7	0
1	8	2
1	9	4
1	10	2
1	11	8
1	12	4
1	13	3
1	14	3
1	15	5
1	16	5
1	17	7
1	18	6
1	19	7
1	20	6
1	21	8
1	22	1
1	23	5
1	24	2
2	1	5
2	2	2
2	3	1
2	4	2
2	5	1
2	6	1
2	7	3
2	8	4
2	9	1
2	10	2
2	11	3
2	12	5
2	13	2
2	14	5
2	15	5
2	16	8
2	17	5
2	18	1
2	19	3
2	20	4
2	21	3
2	22	5
2	23	1
2	24	0
3	1	1
3	2	1
3	3	2
3	4	3
3	5	1
3	6	1
3	7	2
3	8	0
3	9	2
3	10	3
3	11	3
3	12	4
3	13	2
3	14	2
3	15	6
3	16	1
3	17	4
3	18	4
3	19	6
3	20	3
3	21	5
3	22	2
3	23	3
3	24	4
4	1	5
4	2	1
4	3	3
4	4	3
4	5	0
4	6	0
4	7	2
4	8	1
4	9	2
4	10	0
4	11	3
4	12	1
4	13	3
4	14	3
4	15	2
4	16	5
4	17	3
4	18	2
4	19	5
4	20	3
4	21	3
4	22	4
4	23	6
4	24	2
5	1	5
5	2	5
5	3	1
5	4	4
5	5	5
5	6	2
5	7	3
5	8	3
5	9	2
5	10	4
5	11	4
5	12	2
5	13	3
5	14	6
5	15	3
5	16	2
5	17	6
5	18	5
5	19	4
5	20	5
5	21	1
5	22	5
5	23	4
5	24	2
6	1	1
6	2	3
6	3	0
6	4	0
6	5	2
6	6	0
6	7	0
6	8	0
6	9	2
6	10	1
6	11	1
6	12	2
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	1
6	19	1
6	20	1
6	21	1
6	22	1
6	23	0
6	24	0
7	1	1
7	2	0
7	3	0
7	4	1
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	2
7	11	1
7	12	0
7	13	1
7	14	0
7	15	1
7	16	0
7	17	0
7	18	0
7	19	2
7	20	3
7	21	0
7	22	0
7	23	0
7	24	0
