day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	2
1	12	3
1	13	5
1	14	15
1	15	4
1	16	8
1	17	3
1	18	2
1	19	2
1	20	9
1	21	1
1	22	1
1	23	0
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	5
2	12	4
2	13	2
2	14	8
2	15	22
2	16	12
2	17	5
2	18	3
2	19	2
2	20	5
2	21	0
2	22	1
2	23	3
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	3
3	11	5
3	12	22
3	13	4
3	14	14
3	15	5
3	16	13
3	17	2
3	18	0
3	19	2
3	20	0
3	21	5
3	22	12
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	7
4	11	10
4	12	18
4	13	3
4	14	11
4	15	3
4	16	7
4	17	6
4	18	12
4	19	1
4	20	1
4	21	3
4	22	5
4	23	5
4	24	4
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	9
5	11	13
5	12	15
5	13	8
5	14	13
5	15	17
5	16	3
5	17	1
5	18	0
5	19	5
5	20	5
5	21	0
5	22	4
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	2
6	11	3
6	12	1
6	13	0
6	14	3
6	15	3
6	16	3
6	17	2
6	18	2
6	19	0
6	20	1
6	21	0
6	22	2
6	23	0
6	24	0
7	1	14
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	8
7	15	5
7	16	0
7	17	0
7	18	3
7	19	0
7	20	12
7	21	5
7	22	4
7	23	0
7	24	1
