day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	2
1	12	3
1	13	0
1	14	0
1	15	3
1	16	4
1	17	3
1	18	1
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	4
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	2
2	12	4
2	13	1
2	14	1
2	15	2
2	16	4
2	17	0
2	18	0
2	19	2
2	20	0
2	21	0
2	22	2
2	23	2
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	1
3	11	2
3	12	1
3	13	2
3	14	6
3	15	6
3	16	5
3	17	1
3	18	0
3	19	0
3	20	0
3	21	1
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	6
4	13	0
4	14	1
4	15	1
4	16	3
4	17	1
4	18	2
4	19	0
4	20	0
4	21	1
4	22	2
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	3
5	12	1
5	13	1
5	14	0
5	15	2
5	16	0
5	17	0
5	18	0
5	19	0
5	20	0
5	21	1
5	22	1
5	23	0
5	24	0
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	1
6	17	3
6	18	2
6	19	0
6	20	1
6	21	0
6	22	1
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	1
7	14	3
7	15	0
7	16	0
7	17	0
7	18	1
7	19	1
7	20	2
7	21	1
7	22	1
7	23	0
7	24	0
