day	hour	value
1	1	0
1	2	0
1	3	3
1	4	2
1	5	1
1	6	1
1	7	1
1	8	4
1	9	10
1	10	17
1	11	20
1	12	9
1	13	4
1	14	11
1	15	17
1	16	1
1	17	4
1	18	4
1	19	1
1	20	6
1	21	7
1	22	0
1	23	0
1	24	0
2	1	0
2	2	1
2	3	0
2	4	1
2	5	1
2	6	3
2	7	0
2	8	1
2	9	2
2	10	8
2	11	4
2	12	6
2	13	0
2	14	5
2	15	8
2	16	3
2	17	5
2	18	4
2	19	2
2	20	0
2	21	4
2	22	2
2	23	1
2	24	1
3	1	0
3	2	0
3	3	5
3	4	2
3	5	2
3	6	3
3	7	4
3	8	0
3	9	7
3	10	1
3	11	2
3	12	4
3	13	2
3	14	1
3	15	15
3	16	8
3	17	5
3	18	1
3	19	11
3	20	2
3	21	0
3	22	4
3	23	1
3	24	0
4	1	1
4	2	0
4	3	0
4	4	6
4	5	5
4	6	5
4	7	5
4	8	0
4	9	7
4	10	9
4	11	9
4	12	4
4	13	0
4	14	5
4	15	6
4	16	1
4	17	6
4	18	0
4	19	2
4	20	5
4	21	4
4	22	1
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	1
5	6	0
5	7	2
5	8	0
5	9	9
5	10	9
5	11	2
5	12	13
5	13	5
5	14	4
5	15	7
5	16	9
5	17	8
5	18	3
5	19	3
5	20	3
5	21	0
5	22	0
5	23	3
5	24	0
6	1	0
6	2	0
6	3	0
6	4	1
6	5	0
6	6	0
6	7	0
6	8	5
6	9	6
6	10	7
6	11	3
6	12	7
6	13	3
6	14	3
6	15	3
6	16	1
6	17	3
6	18	2
6	19	0
6	20	0
6	21	0
6	22	0
6	23	1
6	24	0
7	1	0
7	2	1
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	2
7	9	6
7	10	5
7	11	2
7	12	14
7	13	3
7	14	2
7	15	4
7	16	4
7	17	2
7	18	2
7	19	2
7	20	7
7	21	4
7	22	2
7	23	0
7	24	1
