day	hour	value
1	1	5
1	2	1
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	3
1	12	6
1	13	1
1	14	7
1	15	3
1	16	3
1	17	4
1	18	0
1	19	0
1	20	2
1	21	0
1	22	4
1	23	0
1	24	4
2	1	2
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	8
2	10	0
2	11	1
2	12	8
2	13	14
2	14	5
2	15	3
2	16	2
2	17	2
2	18	0
2	19	0
2	20	6
2	21	3
2	22	3
2	23	3
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	1
3	11	2
3	12	4
3	13	10
3	14	2
3	15	2
3	16	3
3	17	4
3	18	0
3	19	2
3	20	10
3	21	6
3	22	6
3	23	4
3	24	2
4	1	3
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	4
4	12	8
4	13	1
4	14	5
4	15	6
4	16	4
4	17	10
4	18	4
4	19	11
4	20	2
4	21	10
4	22	5
4	23	2
4	24	4
5	1	0
5	2	3
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	3
5	12	11
5	13	2
5	14	21
5	15	4
5	16	6
5	17	2
5	18	8
5	19	3
5	20	4
5	21	5
5	22	1
5	23	5
5	24	6
6	1	0
6	2	0
6	3	0
6	4	1
6	5	0
6	6	0
6	7	0
6	8	1
6	9	0
6	10	0
6	11	1
6	12	0
6	13	1
6	14	1
6	15	9
6	16	3
6	17	8
6	18	0
6	19	2
6	20	1
6	21	2
6	22	3
6	23	0
6	24	0
7	1	0
7	2	2
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	9
7	13	5
7	14	3
7	15	3
7	16	6
7	17	14
7	18	2
7	19	1
7	20	1
7	21	3
7	22	2
7	23	0
7	24	5
