day	hour	value
1	1	5
1	2	3
1	3	0
1	4	1
1	5	1
1	6	1
1	7	2
1	8	1
1	9	2
1	10	3
1	11	3
1	12	0
1	13	3
1	14	4
1	15	3
1	16	3
1	17	7
1	18	4
1	19	4
1	20	3
1	21	2
1	22	2
1	23	4
1	24	1
2	1	2
2	2	3
2	3	1
2	4	1
2	5	2
2	6	2
2	7	1
2	8	2
2	9	1
2	10	1
2	11	3
2	12	0
2	13	3
2	14	3
2	15	4
2	16	4
2	17	3
2	18	3
2	19	3
2	20	2
2	21	2
2	22	3
2	23	3
2	24	1
3	1	3
3	2	2
3	3	1
3	4	4
3	5	3
3	6	3
3	7	2
3	8	1
3	9	1
3	10	2
3	11	2
3	12	4
3	13	3
3	14	4
3	15	2
3	16	3
3	17	6
3	18	7
3	19	5
3	20	3
3	21	3
3	22	2
3	23	1
3	24	4
4	1	4
4	2	5
4	3	1
4	4	1
4	5	1
4	6	5
4	7	2
4	8	3
4	9	3
4	10	3
4	11	2
4	12	3
4	13	2
4	14	5
4	15	4
4	16	3
4	17	5
4	18	3
4	19	2
4	20	2
4	21	3
4	22	1
4	23	1
4	24	3
5	1	5
5	2	1
5	3	2
5	4	2
5	5	1
5	6	1
5	7	3
5	8	2
5	9	2
5	10	1
5	11	4
5	12	4
5	13	3
5	14	3
5	15	5
5	16	3
5	17	4
5	18	3
5	19	2
5	20	2
5	21	4
5	22	1
5	23	3
5	24	3
6	1	2
6	2	3
6	3	3
6	4	0
6	5	0
6	6	1
6	7	0
6	8	3
6	9	2
6	10	2
6	11	1
6	12	0
6	13	1
6	14	3
6	15	4
6	16	2
6	17	1
6	18	4
6	19	2
6	20	1
6	21	1
6	22	3
6	23	4
6	24	2
7	1	2
7	2	1
7	3	0
7	4	1
7	5	0
7	6	1
7	7	1
7	8	1
7	9	2
7	10	2
7	11	0
7	12	2
7	13	2
7	14	0
7	15	2
7	16	2
7	17	4
7	18	2
7	19	1
7	20	4
7	21	1
7	22	2
7	23	1
7	24	4
