day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	7
1	10	1
1	11	7
1	12	1
1	13	4
1	14	1
1	15	6
1	16	4
1	17	1
1	18	7
1	19	1
1	20	7
1	21	1
1	22	9
1	23	6
1	24	4
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	7
2	10	1
2	11	7
2	12	1
2	13	4
2	14	1
2	15	7
2	16	5
2	17	1
2	18	7
2	19	1
2	20	7
2	21	1
2	22	8
2	23	7
2	24	5
3	1	0
3	2	0
3	3	1
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	7
3	10	0
3	11	7
3	12	0
3	13	5
3	14	0
3	15	5
3	16	5
3	17	0
3	18	7
3	19	1
3	20	8
3	21	0
3	22	7
3	23	5
3	24	7
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	7
4	10	0
4	11	8
4	12	0
4	13	5
4	14	0
4	15	5
4	16	5
4	17	0
4	18	8
4	19	0
4	20	9
4	21	0
4	22	9
4	23	5
4	24	5
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	8
5	10	0
5	11	8
5	12	0
5	13	5
5	14	0
5	15	6
5	16	5
5	17	0
5	18	8
5	19	1
5	20	8
5	21	0
5	22	10
5	23	5
5	24	5
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	9
6	15	0
6	16	5
6	17	1
6	18	5
6	19	0
6	20	0
6	21	5
6	22	0
6	23	0
6	24	5
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	1
7	14	7
7	15	1
7	16	4
7	17	1
7	18	4
7	19	0
7	20	4
7	21	4
7	22	0
7	23	1
7	24	4
