day	hour	value
1	1	1
1	2	0
1	3	2
1	4	1
1	5	2
1	6	1
1	7	1
1	8	2
1	9	0
1	10	7
1	11	2
1	12	1
1	13	13
1	14	0
1	15	1
1	16	1
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	2
2	2	1
2	3	3
2	4	1
2	5	0
2	6	2
2	7	0
2	8	1
2	9	1
2	10	0
2	11	1
2	12	8
2	13	5
2	14	1
2	15	1
2	16	0
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	1
3	2	4
3	3	2
3	4	1
3	5	2
3	6	1
3	7	4
3	8	0
3	9	4
3	10	0
3	11	0
3	12	0
3	13	6
3	14	3
3	15	2
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	2
4	1	8
4	2	0
4	3	1
4	4	2
4	5	2
4	6	1
4	7	0
4	8	3
4	9	0
4	10	1
4	11	1
4	12	0
4	13	2
4	14	1
4	15	0
4	16	1
4	17	2
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	2
4	24	0
5	1	2
5	2	1
5	3	2
5	4	0
5	5	0
5	6	4
5	7	2
5	8	2
5	9	4
5	10	2
5	11	1
5	12	2
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	1
6	1	4
6	2	0
6	3	0
6	4	0
6	5	0
6	6	3
6	7	0
6	8	0
6	9	1
6	10	4
6	11	0
6	12	3
6	13	2
6	14	1
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	3
7	2	0
7	3	0
7	4	7
7	5	0
7	6	5
7	7	2
7	8	4
7	9	1
7	10	1
7	11	4
7	12	1
7	13	1
7	14	1
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
