day	hour	value
1	1	3
1	2	2
1	3	1
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	2
1	10	11
1	11	5
1	12	13
1	13	3
1	14	12
1	15	1
1	16	1
1	17	3
1	18	10
1	19	3
1	20	1
1	21	2
1	22	6
1	23	4
1	24	7
2	1	2
2	2	0
2	3	0
2	4	1
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	14
2	11	6
2	12	11
2	13	4
2	14	10
2	15	3
2	16	4
2	17	4
2	18	16
2	19	0
2	20	1
2	21	1
2	22	2
2	23	3
2	24	5
3	1	1
3	2	1
3	3	1
3	4	2
3	5	2
3	6	0
3	7	0
3	8	0
3	9	3
3	10	13
3	11	2
3	12	10
3	13	2
3	14	10
3	15	3
3	16	0
3	17	1
3	18	10
3	19	0
3	20	5
3	21	0
3	22	1
3	23	1
3	24	1
4	1	1
4	2	1
4	3	0
4	4	0
4	5	0
4	6	4
4	7	0
4	8	0
4	9	1
4	10	12
4	11	3
4	12	9
4	13	2
4	14	19
4	15	4
4	16	2
4	17	2
4	18	11
4	19	0
4	20	6
4	21	3
4	22	4
4	23	5
4	24	2
5	1	0
5	2	1
5	3	0
5	4	0
5	5	0
5	6	1
5	7	1
5	8	1
5	9	0
5	10	12
5	11	5
5	12	10
5	13	6
5	14	14
5	15	2
5	16	2
5	17	2
5	18	10
5	19	0
5	20	0
5	21	0
5	22	0
5	23	3
5	24	1
6	1	2
6	2	1
6	3	1
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	13
6	11	4
6	12	12
6	13	0
6	14	13
6	15	2
6	16	1
6	17	0
6	18	11
6	19	2
6	20	1
6	21	1
6	22	3
6	23	2
6	24	2
7	1	3
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	13
7	11	8
7	12	11
7	13	0
7	14	10
7	15	0
7	16	0
7	17	5
7	18	12
7	19	11
7	20	3
7	21	4
7	22	0
7	23	4
7	24	3
