day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	2
1	6	0
1	7	3
1	8	3
1	9	3
1	10	3
1	11	2
1	12	1
1	13	2
1	14	1
1	15	1
1	16	1
1	17	0
1	18	0
1	19	3
1	20	2
1	21	0
1	22	0
1	23	0
1	24	0
2	1	1
2	2	0
2	3	0
2	4	1
2	5	0
2	6	0
2	7	1
2	8	5
2	9	2
2	10	0
2	11	3
2	12	2
2	13	7
2	14	4
2	15	11
2	16	2
2	17	1
2	18	2
2	19	0
2	20	2
2	21	2
2	22	1
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	1
3	5	0
3	6	3
3	7	7
3	8	8
3	9	5
3	10	3
3	11	2
3	12	0
3	13	2
3	14	0
3	15	2
3	16	4
3	17	13
3	18	60
3	19	54
3	20	10
3	21	0
3	22	2
3	23	1
3	24	0
4	1	0
4	2	0
4	3	1
4	4	1
4	5	1
4	6	3
4	7	2
4	8	9
4	9	2
4	10	1
4	11	1
4	12	0
4	13	3
4	14	1
4	15	0
4	16	1
4	17	1
4	18	4
4	19	3
4	20	3
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	1
5	6	2
5	7	3
5	8	12
5	9	1
5	10	1
5	11	2
5	12	4
5	13	1
5	14	0
5	15	0
5	16	0
5	17	1
5	18	2
5	19	0
5	20	0
5	21	1
5	22	0
5	23	0
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	1
6	6	0
6	7	1
6	8	1
6	9	2
6	10	2
6	11	2
6	12	0
6	13	1
6	14	0
6	15	0
6	16	1
6	17	3
6	18	2
6	19	1
6	20	0
6	21	0
6	22	0
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	2
7	6	3
7	7	1
7	8	1
7	9	1
7	10	0
7	11	4
7	12	1
7	13	1
7	14	2
7	15	0
7	16	1
7	17	2
7	18	0
7	19	2
7	20	1
7	21	2
7	22	0
7	23	1
7	24	0
