day	hour	value
1	1	0
1	2	0
1	3	1
1	4	1
1	5	0
1	6	1
1	7	0
1	8	0
1	9	2
1	10	0
1	11	1
1	12	1
1	13	0
1	14	2
1	15	0
1	16	0
1	17	4
1	18	2
1	19	1
1	20	2
1	21	0
1	22	2
1	23	0
1	24	3
2	1	0
2	2	1
2	3	1
2	4	1
2	5	0
2	6	1
2	7	0
2	8	0
2	9	2
2	10	2
2	11	1
2	12	11
2	13	0
2	14	2
2	15	0
2	16	2
2	17	0
2	18	0
2	19	0
2	20	2
2	21	1
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	1
4	18	0
4	19	1
4	20	0
4	21	1
4	22	4
4	23	2
4	24	0
5	1	3
5	2	0
5	3	2
5	4	1
5	5	3
5	6	0
5	7	1
5	8	1
5	9	1
5	10	2
5	11	7
5	12	0
5	13	1
5	14	0
5	15	2
5	16	1
5	17	2
5	18	1
5	19	3
5	20	0
5	21	1
5	22	0
5	23	2
5	24	0
6	1	3
6	2	0
6	3	2
6	4	1
6	5	2
6	6	1
6	7	2
6	8	0
6	9	2
6	10	1
6	11	4
6	12	1
6	13	3
6	14	0
6	15	2
6	16	0
6	17	1
6	18	1
6	19	2
6	20	0
6	21	0
6	22	3
6	23	2
6	24	0
7	1	3
7	2	0
7	3	2
7	4	3
7	5	1
7	6	0
7	7	1
7	8	0
7	9	0
7	10	1
7	11	1
7	12	4
7	13	13
7	14	0
7	15	0
7	16	0
7	17	7
7	18	0
7	19	1
7	20	2
7	21	2
7	22	0
7	23	0
7	24	1
