day	hour	value
1	1	0
1	2	0
1	3	2
1	4	0
1	5	1
1	6	4
1	7	1
1	8	3
1	9	5
1	10	11
1	11	6
1	12	14
1	13	11
1	14	5
1	15	12
1	16	5
1	17	9
1	18	11
1	19	12
1	20	13
1	21	3
1	22	4
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
2	15	0
2	16	0
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	0
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	4
5	13	4
5	14	9
5	15	11
5	16	13
5	17	8
5	18	3
5	19	4
5	20	6
5	21	8
5	22	3
5	23	3
5	24	1
6	1	0
6	2	0
6	3	3
6	4	1
6	5	5
6	6	14
6	7	13
6	8	3
6	9	9
6	10	5
6	11	3
6	12	3
6	13	9
6	14	3
6	15	4
6	16	6
6	17	6
6	18	2
6	19	12
6	20	2
6	21	3
6	22	1
6	23	3
6	24	1
7	1	1
7	2	0
7	3	3
7	4	3
7	5	0
7	6	1
7	7	2
7	8	2
7	9	1
7	10	3
7	11	5
7	12	5
7	13	7
7	14	8
7	15	7
7	16	7
7	17	2
7	18	4
7	19	2
7	20	3
7	21	4
7	22	1
7	23	2
7	24	2
