day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	4
1	11	0
1	12	1
1	13	1
1	14	0
1	15	0
1	16	0
1	17	5
1	18	0
1	19	0
1	20	4
1	21	0
1	22	0
1	23	9
1	24	10
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	2
2	8	3
2	9	11
2	10	6
2	11	1
2	12	2
2	13	0
2	14	1
2	15	0
2	16	0
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	6
2	23	10
2	24	0
3	1	6
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	4
3	10	0
3	11	1
3	12	7
3	13	2
3	14	0
3	15	0
3	16	0
3	17	1
3	18	0
3	19	6
3	20	0
3	21	4
3	22	7
3	23	9
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	9
4	11	8
4	12	3
4	13	4
4	14	4
4	15	1
4	16	0
4	17	0
4	18	9
4	19	0
4	20	3
4	21	0
4	22	0
4	23	0
4	24	1
5	1	3
5	2	0
5	3	4
5	4	4
5	5	0
5	6	0
5	7	0
5	8	2
5	9	0
5	10	1
5	11	4
5	12	3
5	13	3
5	14	2
5	15	7
5	16	0
5	17	0
5	18	6
5	19	5
5	20	1
5	21	18
5	22	1
5	23	5
5	24	1
6	1	3
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	4
6	12	3
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	7
6	22	1
6	23	0
6	24	1
7	1	3
7	2	5
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	2
7	15	0
7	16	4
7	17	4
7	18	0
7	19	0
7	20	0
7	21	2
7	22	0
7	23	0
7	24	10
