day	hour	value
1	1	0
1	2	0
1	3	1
1	4	0
1	5	0
1	6	0
1	7	0
1	8	15
1	9	6
1	10	0
1	11	10
1	12	0
1	13	1
1	14	0
1	15	13
1	16	4
1	17	1
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	6
2	5	0
2	6	0
2	7	6
2	8	5
2	9	0
2	10	15
2	11	0
2	12	0
2	13	0
2	14	0
2	15	32
2	16	1
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	21
3	5	2
3	6	0
3	7	6
3	8	30
3	9	16
3	10	11
3	11	5
3	12	5
3	13	2
3	14	2
3	15	3
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	7
4	5	11
4	6	0
4	7	2
4	8	32
4	9	25
4	10	5
4	11	7
4	12	0
4	13	0
4	14	0
4	15	1
4	16	0
4	17	0
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	3
5	5	3
5	6	0
5	7	0
5	8	11
5	9	5
5	10	24
5	11	2
5	12	0
5	13	0
5	14	1
5	15	4
5	16	6
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	0
6	13	0
6	14	1
6	15	0
6	16	0
6	17	1
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
