day	hour	value
1	1	0
1	2	1
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	0
1	11	4
1	12	3
1	13	1
1	14	0
1	15	1
1	16	0
1	17	2
1	18	1
1	19	0
1	20	1
1	21	3
1	22	2
1	23	0
1	24	3
2	1	3
2	2	2
2	3	2
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	3
2	12	2
2	13	2
2	14	1
2	15	0
2	16	2
2	17	1
2	18	1
2	19	3
2	20	1
2	21	3
2	22	1
2	23	8
2	24	4
3	1	2
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	5
3	11	0
3	12	6
3	13	1
3	14	0
3	15	1
3	16	0
3	17	2
3	18	1
3	19	2
3	20	5
3	21	4
3	22	2
3	23	2
3	24	3
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	2
4	11	4
4	12	1
4	13	0
4	14	1
4	15	3
4	16	0
4	17	2
4	18	2
4	19	2
4	20	2
4	21	1
4	22	5
4	23	6
4	24	3
5	1	1
5	2	0
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	4
5	12	2
5	13	0
5	14	0
5	15	0
5	16	2
5	17	2
5	18	2
5	19	4
5	20	4
5	21	2
5	22	1
5	23	8
5	24	5
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	1
6	14	1
6	15	3
6	16	5
6	17	2
6	18	1
6	19	2
6	20	0
6	21	3
6	22	4
6	23	0
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	2
7	14	1
7	15	8
7	16	0
7	17	0
7	18	2
7	19	1
7	20	3
7	21	2
7	22	3
7	23	5
7	24	0
