day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	1
1	13	3
1	14	1
1	15	0
1	16	0
1	17	2
1	18	0
1	19	1
1	20	1
1	21	0
1	22	4
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	2
2	13	0
2	14	0
2	15	1
2	16	1
2	17	2
2	18	0
2	19	0
2	20	0
2	21	7
2	22	2
2	23	0
2	24	0
3	1	0
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	3
3	10	8
3	11	7
3	12	21
3	13	11
3	14	1
3	15	4
3	16	2
3	17	1
3	18	2
3	19	6
3	20	0
3	21	5
3	22	1
3	23	2
3	24	0
4	1	0
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	1
4	11	5
4	12	3
4	13	7
4	14	4
4	15	8
4	16	1
4	17	0
4	18	2
4	19	1
4	20	3
4	21	0
4	22	5
4	23	1
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	1
5	12	2
5	13	4
5	14	3
5	15	1
5	16	0
5	17	2
5	18	0
5	19	0
5	20	3
5	21	3
5	22	1
5	23	6
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	1
6	19	1
6	20	0
6	21	0
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	1
7	16	0
7	17	0
7	18	0
7	19	1
7	20	0
7	21	1
7	22	0
7	23	0
7	24	1
