day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	7
1	11	9
1	12	4
1	13	3
1	14	1
1	15	4
1	16	4
1	17	6
1	18	3
1	19	3
1	20	4
1	21	3
1	22	5
1	23	2
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	3
2	10	6
2	11	7
2	12	0
2	13	7
2	14	6
2	15	7
2	16	11
2	17	3
2	18	4
2	19	13
2	20	2
2	21	3
2	22	7
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	3
3	10	9
3	11	7
3	12	6
3	13	0
3	14	4
3	15	3
3	16	6
3	17	1
3	18	4
3	19	2
3	20	5
3	21	6
3	22	6
3	23	2
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	4
4	10	10
4	11	9
4	12	4
4	13	3
4	14	2
4	15	5
4	16	13
4	17	7
4	18	8
4	19	4
4	20	6
4	21	10
4	22	8
4	23	0
4	24	1
5	1	1
5	2	1
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	2
5	9	5
5	10	4
5	11	12
5	12	7
5	13	4
5	14	7
5	15	5
5	16	10
5	17	8
5	18	13
5	19	15
5	20	6
5	21	3
5	22	6
5	23	7
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	2
6	9	0
6	10	0
6	11	3
6	12	3
6	13	1
6	14	2
6	15	4
6	16	9
6	17	5
6	18	4
6	19	17
6	20	3
6	21	10
6	22	6
6	23	4
6	24	1
7	1	5
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	1
7	11	5
7	12	3
7	13	3
7	14	3
7	15	7
7	16	3
7	17	9
7	18	4
7	19	3
7	20	2
7	21	2
7	22	4
7	23	3
7	24	2
