day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	4
1	12	5
1	13	3
1	14	5
1	15	0
1	16	3
1	17	5
1	18	3
1	19	6
1	20	0
1	21	2
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	1
2	11	2
2	12	8
2	13	4
2	14	2
2	15	1
2	16	4
2	17	3
2	18	2
2	19	4
2	20	2
2	21	1
2	22	19
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	2
3	11	2
3	12	2
3	13	5
3	14	2
3	15	5
3	16	5
3	17	7
3	18	10
3	19	4
3	20	5
3	21	0
3	22	1
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	4
4	12	3
4	13	4
4	14	2
4	15	1
4	16	2
4	17	3
4	18	2
4	19	1
4	20	4
4	21	1
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	1
5	11	2
5	12	4
5	13	9
5	14	3
5	15	1
5	16	4
5	17	5
5	18	6
5	19	7
5	20	5
5	21	1
5	22	0
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	3
6	12	1
6	13	6
6	14	8
6	15	14
6	16	3
6	17	7
6	18	2
6	19	1
6	20	6
6	21	2
6	22	1
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	4
7	12	1
7	13	4
7	14	2
7	15	1
7	16	1
7	17	6
7	18	0
7	19	3
7	20	2
7	21	0
7	22	0
7	23	1
7	24	0
