day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	2
1	6	0
1	7	10
1	8	0
1	9	7
1	10	19
1	11	0
1	12	1
1	13	11
1	14	0
1	15	4
1	16	10
1	17	0
1	18	4
1	19	3
1	20	0
1	21	11
1	22	1
1	23	5
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	4
2	6	0
2	7	9
2	8	0
2	9	7
2	10	14
2	11	0
2	12	0
2	13	12
2	14	1
2	15	2
2	16	12
2	17	0
2	18	3
2	19	3
2	20	0
2	21	9
2	22	2
2	23	4
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	4
3	6	0
3	7	8
3	8	1
3	9	6
3	10	17
3	11	0
3	12	0
3	13	8
3	14	0
3	15	0
3	16	10
3	17	0
3	18	4
3	19	5
3	20	0
3	21	9
3	22	1
3	23	4
3	24	0
4	1	1
4	2	0
4	3	0
4	4	0
4	5	4
4	6	0
4	7	9
4	8	0
4	9	6
4	10	15
4	11	1
4	12	0
4	13	8
4	14	1
4	15	1
4	16	7
4	17	2
4	18	4
4	19	4
4	20	0
4	21	13
4	22	3
4	23	4
4	24	0
5	1	0
5	2	1
5	3	0
5	4	0
5	5	3
5	6	0
5	7	11
5	8	0
5	9	6
5	10	17
5	11	0
5	12	0
5	13	8
5	14	0
5	15	1
5	16	11
5	17	3
5	18	4
5	19	3
5	20	1
5	21	11
5	22	1
5	23	2
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	3
6	6	0
6	7	10
6	8	0
6	9	5
6	10	16
6	11	2
6	12	0
6	13	11
6	14	0
6	15	1
6	16	11
6	17	0
6	18	4
6	19	3
6	20	0
6	21	11
6	22	1
6	23	3
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	4
7	6	1
7	7	13
7	8	0
7	9	8
7	10	17
7	11	1
7	12	0
7	13	10
7	14	0
7	15	2
7	16	9
7	17	0
7	18	4
7	19	4
7	20	1
7	21	11
7	22	3
7	23	3
7	24	0
