day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	1
1	11	0
1	12	1
1	13	0
1	14	3
1	15	0
1	16	1
1	17	1
1	18	1
1	19	0
1	20	1
1	21	0
1	22	3
1	23	4
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	1
2	10	2
2	11	1
2	12	3
2	13	2
2	14	2
2	15	0
2	16	1
2	17	1
2	18	4
2	19	1
2	20	3
2	21	3
2	22	0
2	23	0
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	0
3	9	2
3	10	2
3	11	3
3	12	0
3	13	1
3	14	1
3	15	1
3	16	3
3	17	0
3	18	2
3	19	2
3	20	0
3	21	0
3	22	2
3	23	1
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	3
4	10	2
4	11	1
4	12	1
4	13	0
4	14	4
4	15	0
4	16	0
4	17	3
4	18	3
4	19	3
4	20	0
4	21	4
4	22	2
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	3
5	10	2
5	11	4
5	12	1
5	13	3
5	14	2
5	15	0
5	16	4
5	17	2
5	18	3
5	19	2
5	20	1
5	21	5
5	22	1
5	23	2
5	24	2
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	0
6	9	0
6	10	0
6	11	0
6	12	3
6	13	1
6	14	0
6	15	0
6	16	0
6	17	1
6	18	0
6	19	0
6	20	1
6	21	1
6	22	5
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	0
7	11	1
7	12	1
7	13	0
7	14	4
7	15	1
7	16	0
7	17	1
7	18	2
7	19	1
7	20	0
7	21	0
7	22	2
7	23	1
7	24	0
