day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	2
1	10	1
1	11	2
1	12	2
1	13	0
1	14	4
1	15	0
1	16	2
1	17	5
1	18	1
1	19	0
1	20	1
1	21	1
1	22	5
1	23	0
1	24	2
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	4
2	10	2
2	11	4
2	12	2
2	13	7
2	14	3
2	15	4
2	16	0
2	17	4
2	18	8
2	19	2
2	20	3
2	21	4
2	22	5
2	23	0
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	2
3	9	5
3	10	5
3	11	2
3	12	3
3	13	3
3	14	5
3	15	2
3	16	2
3	17	0
3	18	3
3	19	4
3	20	3
3	21	1
3	22	2
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	3
4	11	3
4	12	1
4	13	0
4	14	3
4	15	10
4	16	1
4	17	4
4	18	6
4	19	5
4	20	0
4	21	2
4	22	1
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	1
5	8	1
5	9	0
5	10	1
5	11	2
5	12	2
5	13	0
5	14	2
5	15	0
5	16	4
5	17	3
5	18	4
5	19	1
5	20	1
5	21	3
5	22	3
5	23	0
5	24	2
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	0
6	11	2
6	12	0
6	13	2
6	14	1
6	15	3
6	16	2
6	17	1
6	18	0
6	19	0
6	20	0
6	21	4
6	22	4
6	23	2
6	24	4
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	2
7	10	0
7	11	0
7	12	1
7	13	3
7	14	1
7	15	2
7	16	2
7	17	2
7	18	3
7	19	2
7	20	0
7	21	0
7	22	2
7	23	1
7	24	0
