day	hour	value
1	1	2
1	2	8
1	3	0
1	4	0
1	5	0
1	6	1
1	7	5
1	8	4
1	9	20
1	10	13
1	11	5
1	12	1
1	13	1
1	14	9
1	15	2
1	16	1
1	17	2
1	18	4
1	19	5
1	20	6
1	21	1
1	22	1
1	23	4
1	24	4
2	1	2
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	6
2	9	4
2	10	1
2	11	3
2	12	2
2	13	2
2	14	0
2	15	1
2	16	3
2	17	0
2	18	4
2	19	5
2	20	4
2	21	9
2	22	2
2	23	0
2	24	12
3	1	7
3	2	29
3	3	2
3	4	0
3	5	0
3	6	0
3	7	2
3	8	1
3	9	0
3	10	2
3	11	0
3	12	4
3	13	3
3	14	0
3	15	0
3	16	5
3	17	3
3	18	1
3	19	2
3	20	0
3	21	1
3	22	4
3	23	2
3	24	0
4	1	2
4	2	0
4	3	0
4	4	0
4	5	0
4	6	8
4	7	2
4	8	2
4	9	1
4	10	2
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	0
4	18	0
4	19	0
4	20	2
4	21	2
4	22	0
4	23	4
4	24	3
5	1	2
5	2	1
5	3	0
5	4	0
5	5	2
5	6	0
5	7	2
5	8	1
5	9	1
5	10	0
5	11	4
5	12	1
5	13	3
5	14	2
5	15	4
5	16	1
5	17	1
5	18	0
5	19	1
5	20	2
5	21	0
5	22	0
5	23	0
5	24	1
6	1	2
6	2	7
6	3	4
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	1
6	10	7
6	11	4
6	12	1
6	13	4
6	14	1
6	15	1
6	16	5
6	17	1
6	18	2
6	19	1
6	20	3
6	21	1
6	22	7
6	23	0
6	24	1
7	1	2
7	2	0
7	3	1
7	4	0
7	5	1
7	6	0
7	7	0
7	8	0
7	9	2
7	10	6
7	11	7
7	12	1
7	13	2
7	14	1
7	15	1
7	16	2
7	17	0
7	18	6
7	19	8
7	20	4
7	21	2
7	22	5
7	23	4
7	24	3
