day	hour	value
1	1	2
1	2	1
1	3	3
1	4	2
1	5	0
1	6	0
1	7	2
1	8	0
1	9	1
1	10	0
1	11	5
1	12	2
1	13	1
1	14	1
1	15	4
1	16	7
1	17	4
1	18	12
1	19	7
1	20	2
1	21	3
1	22	2
1	23	1
1	24	2
2	1	1
2	2	2
2	3	3
2	4	3
2	5	1
2	6	0
2	7	2
2	8	0
2	9	2
2	10	1
2	11	2
2	12	3
2	13	1
2	14	1
2	15	4
2	16	3
2	17	5
2	18	6
2	19	13
2	20	6
2	21	1
2	22	3
2	23	2
2	24	0
3	1	2
3	2	0
3	3	20
3	4	3
3	5	1
3	6	1
3	7	0
3	8	0
3	9	0
3	10	1
3	11	0
3	12	1
3	13	1
3	14	0
3	15	1
3	16	3
3	17	3
3	18	1
3	19	3
3	20	2
3	21	2
3	22	0
3	23	1
3	24	0
4	1	1
4	2	0
4	3	0
4	4	4
4	5	0
4	6	1
4	7	3
4	8	1
4	9	0
4	10	1
4	11	0
4	12	3
4	13	4
4	14	2
4	15	2
4	16	3
4	17	3
4	18	2
4	19	6
4	20	2
4	21	3
4	22	2
4	23	4
4	24	4
5	1	9
5	2	5
5	3	3
5	4	3
5	5	0
5	6	0
5	7	0
5	8	0
5	9	3
5	10	0
5	11	3
5	12	7
5	13	4
5	14	1
5	15	2
5	16	3
5	17	2
5	18	2
5	19	4
5	20	1
5	21	4
5	22	4
5	23	9
5	24	2
6	1	4
6	2	7
6	3	1
6	4	3
6	5	2
6	6	0
6	7	1
6	8	1
6	9	1
6	10	2
6	11	0
6	12	2
6	13	2
6	14	0
6	15	2
6	16	7
6	17	4
6	18	2
6	19	4
6	20	0
6	21	2
6	22	2
6	23	6
6	24	1
7	1	7
7	2	10
7	3	2
7	4	1
7	5	1
7	6	2
7	7	1
7	8	2
7	9	0
7	10	2
7	11	1
7	12	2
7	13	4
7	14	5
7	15	2
7	16	3
7	17	2
7	18	2
7	19	3
7	20	4
7	21	1
7	22	3
7	23	2
7	24	4
