day	hour	value
1	1	0
1	2	16
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	4
1	11	11
1	12	1
1	13	1
1	14	0
1	15	2
1	16	0
1	17	0
1	18	1
1	19	0
1	20	0
1	21	12
1	22	2
1	23	0
1	24	0
2	1	0
2	2	4
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	9
2	11	4
2	12	0
2	13	3
2	14	3
2	15	3
2	16	5
2	17	4
2	18	10
2	19	2
2	20	2
2	21	2
2	22	2
2	23	6
2	24	11
3	1	10
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	8
3	11	3
3	12	0
3	13	2
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	1
3	21	1
3	22	5
3	23	8
3	24	6
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	3
4	11	3
4	12	0
4	13	2
4	14	2
4	15	0
4	16	2
4	17	0
4	18	0
4	19	0
4	20	3
4	21	7
4	22	0
4	23	4
4	24	14
5	1	14
5	2	4
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	4
5	11	17
5	12	13
5	13	15
5	14	0
5	15	1
5	16	0
5	17	0
5	18	0
5	19	1
5	20	3
5	21	0
5	22	6
5	23	2
5	24	3
6	1	9
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	0
6	11	0
6	12	0
6	13	0
6	14	3
6	15	2
6	16	4
6	17	1
6	18	0
6	19	2
6	20	2
6	21	0
6	22	0
6	23	0
6	24	0
7	1	1
7	2	0
7	3	1
7	4	0
7	5	2
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	0
7	12	1
7	13	5
7	14	0
7	15	0
7	16	2
7	17	3
7	18	0
7	19	0
7	20	0
7	21	8
7	22	0
7	23	9
7	24	0
