day	hour	value
1	1	5
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	0
1	10	1
1	11	1
1	12	5
1	13	4
1	14	0
1	15	0
1	16	1
1	17	0
1	18	0
1	19	4
1	20	4
1	21	4
1	22	6
1	23	17
1	24	15
2	1	7
2	2	4
2	3	1
2	4	0
2	5	0
2	6	0
2	7	1
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	4
2	14	0
2	15	0
2	16	0
2	17	0
2	18	0
2	19	0
2	20	2
2	21	1
2	22	2
2	23	3
2	24	8
3	1	2
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	1
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	6
3	22	6
3	23	5
3	24	2
4	1	7
4	2	4
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	0
4	18	0
4	19	0
4	20	1
4	21	3
4	22	5
4	23	14
4	24	5
5	1	4
5	2	5
5	3	0
5	4	0
5	5	1
5	6	0
5	7	0
5	8	1
5	9	1
5	10	0
5	11	1
5	12	0
5	13	3
5	14	0
5	15	1
5	16	2
5	17	2
5	18	0
5	19	1
5	20	3
5	21	9
5	22	9
5	23	22
5	24	11
6	1	5
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	1
6	9	0
6	10	0
6	11	1
6	12	0
6	13	5
6	14	2
6	15	0
6	16	1
6	17	3
6	18	1
6	19	2
6	20	2
6	21	3
6	22	4
6	23	6
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	3
7	9	0
7	10	0
7	11	1
7	12	0
7	13	9
7	14	1
7	15	2
7	16	3
7	17	3
7	18	3
7	19	6
7	20	7
7	21	11
7	22	13
7	23	21
7	24	26
