day	hour	value
1	1	3
1	2	0
1	3	0
1	4	0
1	5	1
1	6	0
1	7	0
1	8	4
1	9	0
1	10	12
1	11	7
1	12	3
1	13	5
1	14	13
1	15	3
1	16	0
1	17	8
1	18	2
1	19	1
1	20	9
1	21	4
1	22	3
1	23	2
1	24	11
2	1	7
2	2	7
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	12
2	11	9
2	12	0
2	13	0
2	14	1
2	15	0
2	16	3
2	17	3
2	18	2
2	19	1
2	20	10
2	21	4
2	22	15
2	23	1
2	24	3
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	2
3	10	5
3	11	6
3	12	0
3	13	0
3	14	0
3	15	0
3	16	3
3	17	3
3	18	0
3	19	1
3	20	6
3	21	2
3	22	1
3	23	1
3	24	9
4	1	0
4	2	0
4	3	1
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	5
4	11	2
4	12	0
4	13	0
4	14	5
4	15	0
4	16	2
4	17	0
4	18	1
4	19	1
4	20	1
4	21	0
4	22	9
4	23	2
4	24	1
5	1	2
5	2	0
5	3	0
5	4	0
5	5	7
5	6	0
5	7	0
5	8	0
5	9	1
5	10	11
5	11	4
5	12	2
5	13	0
5	14	2
5	15	4
5	16	2
5	17	0
5	18	5
5	19	1
5	20	1
5	21	7
5	22	8
5	23	9
5	24	5
6	1	13
6	2	0
6	3	1
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	11
6	12	2
6	13	12
6	14	3
6	15	3
6	16	4
6	17	3
6	18	2
6	19	6
6	20	0
6	21	11
6	22	6
6	23	5
6	24	13
7	1	4
7	2	1
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	2
7	10	13
7	11	9
7	12	12
7	13	6
7	14	1
7	15	5
7	16	2
7	17	1
7	18	7
7	19	5
7	20	11
7	21	4
7	22	3
7	23	7
7	24	3
