day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	4
1	10	7
1	11	1
1	12	4
1	13	3
1	14	2
1	15	4
1	16	3
1	17	0
1	18	2
1	19	1
1	20	2
1	21	2
1	22	2
1	23	3
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	7
2	10	4
2	11	0
2	12	6
2	13	2
2	14	2
2	15	5
2	16	4
2	17	4
2	18	1
2	19	8
2	20	4
2	21	7
2	22	4
2	23	5
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	1
3	9	5
3	10	7
3	11	3
3	12	4
3	13	5
3	14	4
3	15	2
3	16	3
3	17	4
3	18	5
3	19	4
3	20	5
3	21	7
3	22	2
3	23	7
3	24	3
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	8
4	10	4
4	11	4
4	12	5
4	13	4
4	14	4
4	15	3
4	16	1
4	17	5
4	18	3
4	19	8
4	20	3
4	21	8
4	22	4
4	23	4
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	3
5	9	8
5	10	2
5	11	5
5	12	7
5	13	5
5	14	5
5	15	6
5	16	3
5	17	4
5	18	1
5	19	4
5	20	4
5	21	3
5	22	2
5	23	3
5	24	2
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	4
6	11	3
6	12	6
6	13	1
6	14	6
6	15	5
6	16	4
6	17	3
6	18	0
6	19	3
6	20	4
6	21	2
6	22	4
6	23	0
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	5
7	12	3
7	13	2
7	14	3
7	15	3
7	16	3
7	17	1
7	18	0
7	19	0
7	20	1
7	21	1
7	22	0
7	23	0
7	24	2
