day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	2
1	6	5
1	7	3
1	8	2
1	9	5
1	10	4
1	11	4
1	12	2
1	13	7
1	14	1
1	15	3
1	16	1
1	17	1
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	2
2	4	0
2	5	1
2	6	2
2	7	1
2	8	3
2	9	1
2	10	2
2	11	4
2	12	10
2	13	6
2	14	3
2	15	2
2	16	5
2	17	0
2	18	2
2	19	1
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	2
3	4	3
3	5	1
3	6	2
3	7	2
3	8	3
3	9	7
3	10	6
3	11	7
3	12	1
3	13	2
3	14	3
3	15	0
3	16	5
3	17	1
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	2
4	4	2
4	5	0
4	6	2
4	7	1
4	8	4
4	9	1
4	10	4
4	11	1
4	12	3
4	13	3
4	14	5
4	15	4
4	16	1
4	17	2
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	1
5	4	0
5	5	3
5	6	4
5	7	3
5	8	4
5	9	3
5	10	9
5	11	2
5	12	0
5	13	2
5	14	5
5	15	7
5	16	4
5	17	2
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	1
6	3	1
6	4	0
6	5	0
6	6	4
6	7	1
6	8	2
6	9	5
6	10	3
6	11	2
6	12	2
6	13	2
6	14	2
6	15	2
6	16	2
6	17	1
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	1
7	5	0
7	6	0
7	7	3
7	8	4
7	9	1
7	10	2
7	11	1
7	12	1
7	13	0
7	14	1
7	15	1
7	16	1
7	17	1
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
